id;name;uic;lat;lon;country
28297;Bitola;bitola;41.02014;21.34278;MK
28298;Skopje;skopje;42.0263;21.44014;MK
28714;Bitola;bitola;41.020064;21.342503;MK
28715;Demir Kapija;demir-kapija;41.409183;22.244733;MK
28716;Negotino Vardar;negotino-vardar;41.4978716;22.1043006;MK
28717;Prilep;prilep;41.344068;21.538085;MK
28718;Skopje;skopje;41.991175;21.446014;MK
28719;Kićevo;kicevo;41.512644;20.949929;MK
28720;Veles;veles;41.724014;21.769288;MK
28723;Kumanovo;kumanovo;42.130443;21.68501;MK
32371;Gostivar;gostivar;41.79722;20.90833;MK
32372;Struga;struga;41.17806;20.67611;MK
32373;Tetovo;tetovo;42.01056;20.97139;MK
35105;Debar;debar;41.5210549;20.5237946;MK
35337;Gevgelija;gevgelija;41.1435469;22.5109447;MK
35358;Negotino;negotino;41.4950131;22.0979201;MK
38446;Skopje Airport;skopje-airport;41.9616;21.6214;MK
67733;Gumna;gumna;49.7653881505071;18.701240715339;MK
