id;name;uic;lat;lon;country
10482;Rzepin;rzepin;52.350139;14.815171;PL
10483;Poznań;poznan;52.401996;16.910866;PL
10484;Kutno;kutno;52.227437;19.348436;PL
10491;Warszawa;warszawa;52.232855;20.9211119;PL
10492;Warszawa-Wschodnia;warszawa-wschodnia;52.251544;21.052332;PL
10493;Warszawa-Centralna;warszawa-centralna;52.228864;21.003233;PL
17518;Gdańsk Główny;gdansk-glowny;54.355523;18.643807;PL
17519;Łódź Kaliska;lodz-kaliska;51.757416;19.430884;PL
17584;Kraków Główny;krakow-glowny;50.0671920000;19.9474230000;PL
17585;Kraków Główny (Bus);krakow-glowny-bus;50.0679020000;19.9495800000;PL
19068;Bydgoszcz Główna;bydgoszcz-glowna;53.1351110000;17.9916400000;PL
19069;Gdynia Główna;gdynia-glowna;54.5208430000;18.5295540000;PL
19070;Gniezno;gniezno;52.5264340000;17.6017860000;PL
19071;Inowrocław;inowroclaw;52.8014050000;18.2391840000;PL
19072;Katowice;katowice;50.2575110000;19.0171650000;PL
19073;Konin;konin;52.2313990000;18.2533330000;PL
19074;Kutno;kutno;52.2269580000;19.3486150000;PL
19075;Legnica;legnica;51.2138470000;16.1689240000;PL
19076;Sopot;sopot;54.4401650000;18.5623200000;PL
19077;Szczecin Główny;szczecin-glowny;53.4187840000;14.5503170000;PL
19078;Tczew;tczew;54.0973170000;18.7901510000;PL
19079;Warszawa Zachodnia;warszawa-zachodnia;52.2199740000;20.9652440000;PL
19080;Wrocław Główny;wroclaw-glowny;51.0980750000;17.0370840000;PL
19081;Zbąszynek;zbaszynek;52.2425090000;15.8180930000;PL
19082;Rzepin;rzepin;52.3502180000;14.8150760000;PL
19083;Kostrzyn;kostrzyn;52.5915970000;14.6446950000;PL
19084;Żary;zary;51.6347490000;15.1369620000;PL
19085;Krzewina Zgorzelecka;krzewina-zgorzelecka;51.0153560000;14.9393610000;PL
19086;Świebodzin;swiebodzin;52.2451430000;15.5395350000;PL
19087;Warszawa Zachodnia WKD;warszawa-zachodnia-wkd;52.2196590000;20.9653970000;PL
19088;Warszawa Zachodnia (peron 8);warszawa-zachodnia-peron-8;52.2213220000;20.9613160000;PL
19089;Katowice Dworzec autobusowy Piotra Skargi 8;katowice-dworzec-autobusowy-piotra-skargi-8;50.2626800000;19.0171830000;PL
19090;Wrocław Główny (Dworzec autobusowy Sucha 1-11);wroclaw-glowny-dworzec-autobusowy-sucha-1-11;51.0965560000;17.0339470000;PL
19091;Świnoujście Centrum;swinoujscie-centrum;53.9129930000;14.2360000000;PL
22587;Kołobrzeg;kolobrzeg;54.182310;15.569649;PL
22690;Warszawa-Centralna;warszawa-centralna;52.228744;21.003318;PL
22730;Kostrzyn;kostrzyn;52.39336;17.224689;PL
