id;name;uic;lat;lon;country
17520;Göteborg Central;goteborg-central;57.709308;11.973424;SE
17521;Halmstad Central;halmstad-central;56.669211;12.8643;SE
17522;Helsingborg Central;helsingborg-central;56.043688;12.695069;SE
17523;Malmö Central;malmo-central;55.60923;13.00126;SE
19102;Stockholm Central;stockholm-central;59.3300090000;18.0576290000;SE
19103;Alvesta station;alvesta-station;56.8984810000;14.5568790000;SE
19104;Hässleholm Central;hassleholm-central;56.1585160000;13.7639230000;SE
19105;Norrköping Central;norrkoping-central;58.5965620000;16.1836750000;SE
19106;Linköping Central;linkoping-central;58.4160130000;15.6266760000;SE
19107;Ängelholm Station;angelholm-station;56.2457030000;12.8541780000;SE
19108;Varberg Station;varberg-station;57.1093410000;12.2484130000;SE
19109;Nässjö Central;nassjo-central;57.6521280000;14.6947830000;SE
19110;Kungsbacka Station;kungsbacka-station;57.4901870000;12.0799380000;SE
19111;Mjölby Station;mjolby-station;58.3228310000;15.1319190000;SE
19112;Älmhult station;almhult-station;56.5509940000;14.1372630000;SE
19113;Båstad station;bastad-station;56.4250190000;12.8687230000;SE
19114;Eslöv station;eslov-station;55.8362350000;13.3042860000;SE
19115;Karlshamn Station;karlshamn-station;56.1767730000;14.8678160000;SE
19116;Karlskrona Central;karlskrona-central;56.1663190000;15.5852540000;SE
19117;Kristianstad Central;kristianstad-central;56.0317770000;14.1510520000;SE
19118;Laholm station;laholm-station;56.5016440000;12.9985540000;SE
19119;Uppsala Central;uppsala-central;59.8580990000;17.6467500000;SE
19120;Sölvesborg station;solvesborg-station;56.0498730000;14.5839280000;SE
19121;Ronneby station;ronneby-station;56.2066360000;15.2833510000;SE
19122;Osby;osby;56.3798760000;13.9948110000;SE
19123;Höör Station;hoor-station;55.9369230000;13.5418440000;SE
19124;Bräkne-Hoby station;brakne-hoby-station;56.2310590000;15.1160260000;SE
19125;Mörrum station;morrum-station;56.1868320000;14.7432620000;SE
19126;Kävlinge Station;kavlinge-station;55.7939050000;13.1116830000;SE
19127;Landskrona station;landskrona-station;55.8790870000;12.8571900000;SE
19128;Södertälje Syd station;sodertalje-syd-station;59.1625130000;17.6456720000;SE
19129;Falkenberg;falkenberg;56.9198040000;12.5083100000;SE
19130;Lund Central;lund-central;55.7055230000;13.1865820000;SE
29654;Borås;boras;57.721035;12.939819;SE
