id;name;uic;lat;lon;country
1121;Tournai Frontière;tournai-frontiere;;;BE
1122;Froyennes;froyennes;;;BE
1313;Mouscron;mouscron;;;BE
1354;Quevy Frontière;quevy-frontiere;;;BE
5893;Bruxelles-Midi;bruxelles-midi;50.835374;4.335695;BE
5902;Soignies;soignies;50.573177;4.069281;BE
5903;Tubize;tubize;50.691834;4.205693;BE
5904;Lembeek;lembeek;50.714334;4.220687;BE
5909;Leuven;leuven;50.8790890000;4.7123880000;BE
5910;Sterpenich;sterpenich;;;BE
5914;Statte;statte-gare;50.528132;5.22;BE
5915;Welkenraedt;welkenraedt;50.6595090000;5.9750210000;BE
5927;La Louvière Centre;la-louviere-centre;50.478161;4.179858;BE
5929;Antwerpen-Centraal;antwerpen-centraal;51.21552672202654;4.42100465297699;BE
5930;Zeebrugge-Dorp;zeebrugge-dorp;51.326383;3.19517;BE
5931;Waregem;waregem;50.890855;3.425303;BE
5932;Torhout;torhout;51.064455;3.105656;BE
5934;Spa;spa;50.49008;5.855501;BE
5935;Saint-Ghislain;saint-ghislain;50.44286;3.820253;BE
5937;Ronse;ronse;50.742506;3.602552;BE
5938;Péruwelz;peruwelz;50.513623;3.59164;BE
5940;Menen;menen;50.799687;3.113917;BE
5941;Manage;manage;50.505847;4.23515;BE
5945;Brussels-Airport-Zaventem;brussels-airport-zaventem;50.8985400058829;4.483022689819336;BE
5950;Blandain;blandain;;;BE
5953;Froyennes;froyennes;50.62989;3.354837;BE
5954;Gouvy Frontière;gouvy-frontiere;50.08962;5.958922;BE
5955;Sterpenich Frontière;sterpenich-frontiere;49.674076;5.827625;BE
5956;Visé Frontière;vise-frontiere;;;BE
5964;Antwerpen;antwerpen;51.221722;4.405860;BE
5965;Antwerpen-Oost;antwerpen-oost;51.207357;4.436392;BE
5970;Blandain Ville;blandain-ville;50.617431;3.26374;BE
5971;Bruxelles-Nord;bruxelles-nord;50.8602380000;4.3614580000;BE
5973;Brugge;brugge;51.19722998626312;3.217062950134277;BE
5974;Bruxelles;bruxelles;50.84651957961837;4.351739287376404;BE
5976;Charleroi-Central;charleroi-central;50.4044220000;4.4387740000;BE
5985;Gent-Sint-Pieters;gent-sint-pieters;51.0356270000;3.7106120000;BE
5988;Herseaux;herseaux;50.713723;3.24604;BE
5995;Liège-Guillemins;liege-guillemins;50.6242970000;5.5666670000;BE
5998;Oostende;oostende;51.2284900000;2.9268240000;BE
6000;Mons;mons;50.45612423580516;3.9446711540222164;BE
6001;Namur;namur;50.4689830000;4.8624990000;BE
6003;Quévy Ville;quevy-ville;;;BE
6005;Schaerbeek;schaerbeek;;;BE
6006;Sterpenich Ville;sterpenich-ville;;;BE
6008;Verviers-Central;verviers-central;50.588135;5.854917;BE
17538;Bruxelles-Midi Eurostar;bruxelles-midi-eurostar;50.8358950000;4.3353170000;BE
17736;Schaerbeek;schaerbeek;50.8784050000;4.3786540000;BE
17737;Bruxelles-Central;bruxelles-central;50.8454960000;4.3570620000;BE
17738;Bruxelles-Luxembourg;bruxelles-luxembourg;50.8388080000;4.3739980000;BE
17739;Halle;halle;50.7333730000;4.2400850000;BE
17740;Antwerpen-Berchem;antwerpen-berchem;51.1995270000;4.4324640000;BE
17741;Essen;essen-station;51.4626410000;4.4509990000;BE
17742;Mechelen;mechelen;51.0175040000;4.4834680000;BE
17743;Ans;ans;50.6610280000;5.5096860000;BE
17744;Rivage;rivage;50.4850370000;5.5859680000;BE
17745;Flemalle-Haute;flemalle-haute;50.5947150000;5.4562270000;BE
17746;Andenne;andenne;50.4968400000;5.0946630000;BE
17747;Jemelle;jemelle;50.1603560000;5.2667610000;BE
17748;Libramont;libramont;49.9198320000;5.3793870000;BE
17749;Arlon;arlon;49.6801250000;5.8094310000;BE
17750;Erquelinnes;erquelinnes;50.3036800000;4.1122950000;BE
17751;Quevy;quevy;50.3406800000;3.9093720000;BE
17752;Enghien;enghien;50.6971650000;4.0474110000;BE
17753;Leuze;leuze;50.6005670000;3.6166740000;BE
17754;Aarschot;aarschot;50.9841370000;4.8237550000;BE
17755;Angleur;angleur;50.6128820000;5.5995240000;BE
17756;Bertrix;bertrix;49.8527090000;5.2677230000;BE
17757;Berzée;berzee;50.2854590000;4.4061880000;BE
17758;Beveren;beveren;51.2082200000;4.2596280000;BE
17759;Bilzen;bilzen;50.8684540000;5.5092900000;BE
17760;Blankenberge;blankenberge;51.3117390000;3.1345110000;BE
17761;Blaton;blaton;50.5052360000;3.6666900000;BE
17762;Braine-le-Comte;braine-le-comte;50.6055200000;4.1387050000;BE
17763;Braine-l’Alleud;braine-lalleud;50.6845620000;4.3759300000;BE
17764;Buggenhout;buggenhout;51.0163180000;4.2009100000;BE
17765;Châtelet;chatelet;50.4095550000;4.5205400000;BE
17766;Ciney;ciney;50.2913650000;5.0911570000;BE
17767;De Panne;de-panne;51.0773730000;2.6017290000;BE
17768;De Pinte;de-pinte;50.9966410000;3.6496920000;BE
17769;Deinze;deinze;50.9781590000;3.5350160000;BE
17770;Denderleeuw;denderleeuw;50.8914940000;4.0713760000;BE
17771;Dendermonde;dendermonde;51.0230150000;4.1012830000;BE
17772;Diest;diest;50.9928830000;5.0513890000;BE
17773;Diksmuide;diksmuide;51.0327230000;2.8691140000;BE
17774;Fleurus;fleurus;50.4822060000;4.5439390000;BE
17775;Gembloux;gembloux;50.5706600000;4.6913620000;BE
17776;Gent-Dampoort;gent-dampoort;51.0558520000;3.7406090000;BE
17777;Geraardsbergen;geraardsbergen;50.7705170000;3.8717970000;BE
17778;Gouvy;gouvy;50.1897240000;5.9537350000;BE
17779;Grupont;grupont;50.0908070000;5.2806860000;BE
17780;Houyet;houyet;50.1900020000;5.0061190000;BE
17781;Ieper;ieper;50.8478240000;2.8762060000;BE
17782;Izegem;izegem;50.9210410000;3.2147580000;BE
17783;Jamioulx;jamioulx;50.3527430000;4.4115010000;BE
17784;Jemeppe-sur-Sambre;jemeppe-sur-sambre;50.4516520000;4.6641520000;BE
17785;Jette;jette;50.8808860000;4.3285930000;BE
17786;Jurbise;jurbise;50.5302350000;3.9101180000;BE
17787;Kapellen;kapellen;51.3133750000;4.4326520000;BE
17788;Knokke;knokke;51.3398310000;3.2848830000;BE
17789;Koksijde;koksijde;51.0790900000;2.6530850000;BE
17790;Kortemark;kortemark;51.0250550000;3.0431900000;BE
17791;Landen;landen;50.7478010000;5.0802620000;BE
17792;Leopoldsburg;leopoldsburg;51.1175000000;5.2578350000;BE
17793;Lessines;lessines;50.7131840000;3.8368920000;BE
17794;Lichtervelde;lichtervelde;51.0250280000;3.1272120000;BE
17795;Tienen;tienen;50.8077590000;4.9256120000;BE
17796;Tongeren;tongeren;50.7840010000;5.4737560000;BE
17797;Trois-Ponts;trois-ponts;50.3690500000;5.8730300000;BE
17798;Vilvoorde;vilvoorde;50.9245650000;4.4330390000;BE
17799;Walcourt;walcourt;50.2592370000;4.4360230000;BE
17800;Waremme;waremme;50.6945400000;5.2495200000;BE
17801;Yvoir;yvoir;50.3209930000;4.8789130000;BE
17802;Zichem;zichem;51.0063940000;4.9882760000;BE
17803;Ruisbroek-Sauvegarde;ruisbroek-sauvegarde;51.0811390000;4.3263010000;BE
17804;Zeebrugge-Strand;zeebrugge-strand;51.3306440000;3.1839070000;BE
17805;Auvelais;auvelais;50.4490630000;4.6310980000;BE
17806;Bressoux;bressoux;50.6445060000;5.6126480000;BE
17807;Eupen;eupen;50.6353640000;6.0371550000;BE
17808;Genk;genk;50.9670120000;5.4962560000;BE
17809;Merelbeke;merelbeke;51.0200480000;3.7647270000;BE
17810;Lobbes;lobbes;50.3460010000;4.2622620000;BE
17811;Lokeren;lokeren;51.1076030000;3.9864100000;BE
17812;Muizen;muizen;51.0084430000;4.5136270000;BE
17813;Tamines;tamines;50.4325940000;4.6099380000;BE
17814;Waterloo;waterloo;50.7148470000;4.3835350000;BE
17815;Philippeville;philippeville;50.1916120000;4.5359830000;BE
17816;Sint-Niklaas;sint-niklaas;51.1720380000;4.1442420000;BE
17817;Bruxelles-Schuman;bruxelles-schuman;50.8431230000;4.3803710000;BE
17818;Opwijk;opwijk;50.9747610000;4.1871660000;BE
17819;Nivelles;nivelles;50.6006030000;4.3353440000;BE
17820;Marbehan;marbehan;49.7274540000;5.5395660000;BE
17821;Londerzeel;londerzeel;51.0091360000;4.2985240000;BE
17822;Mouscron;mouscron;50.7401330000;3.2277020000;BE
17823;Harelbeke;harelbeke;50.8562200000;3.3144480000;BE
17824;Barvaux;barvaux;50.3493180000;5.5019910000;BE
17825;Ath;ath;50.6268690000;3.7767360000;BE
17826;Roeselare;roeselare;50.9488990000;3.1303580000;BE
17827;Tournai;tournai;50.6129810000;3.3968250000;BE
17828;Visé;vise;50.7378590000;5.6926520000;BE
17829;Coo;coo;50.3907320000;5.8808060000;BE
17830;Aywaille;aywaille;50.4728480000;5.6729930000;BE
17831;Poulseur;poulseur;50.5090480000;5.5784800000;BE
17832;Couvin;couvin;50.0565940000;4.4920620000;BE
17833;Kalmthout;kalmthout;51.3913750000;4.4665060000;BE
17834;Huy;huy;50.5270260000;5.2334560000;BE
17835;Antwerpen-Luchtbal;antwerpen-luchtbal;51.2447340000;4.4248320000;BE
17836;Antwerpen-Noorderdokken;antwerpen-noorderdokken;51.2616160000;4.4278340000;BE
17837;Ekeren;ekeren;51.2815180000;4.4342610000;BE
17838;Sint-Mariaburg;sint-mariaburg;51.2913790000;4.4349900000;BE
17839;Kijkuit;kijkuit;51.3793920000;4.4671260000;BE
17840;Wildert;wildert;51.4271880000;4.4635390000;BE
17841;Mortsel;mortsel;51.1830950000;4.4483300000;BE
17842;Boechout;boechout;51.1636060000;4.4942910000;BE
17843;Balen;balen;51.1687570000;5.1652460000;BE
17844;Heusden;heusden;51.0380810000;5.2812880000;BE
17845;Berlaar;berlaar;51.1133740000;4.6390990000;BE
17846;Heist-op-den-Berg;heist-op-den-berg;51.0736330000;4.7089450000;BE
17847;Booischot;booischot;51.0375680000;4.7730650000;BE
17848;Begijnendijk;begijnendijk;51.0225650000;4.7994660000;BE
17849;Sint-Truiden;sint-truiden;50.8175120000;5.1762760000;BE
17850;Bokrijk;bokrijk;50.9556680000;5.4084400000;BE
