id;name;uic;lat;lon;country
27849;Pazardzhik;pazardzhik;42.169953;24.320879;BG
27850;Plovdiv;plovdiv;42.134464;24.741522;BG
27851;Svilengrad;svilengrad;41.774192;26.144242;BG
27852;Burgas;burgas;42.491019;27.472722;BG
27853;Gorna Orjahovica;gorna-orjahovica;43.139511;25.68183;BG
27854;Karlovo;karlovo;42.631924;24.804652;BG
27855;Dragoman;dragoman;42.922041;22.932165;BG
27856;Dimitrovgrad;dimitrovgrad;42.0571408;25.5863141;BG
27857;Ruse Razpredelitelna;ruse-razpredelitelna;43.857684;25.997998;BG
27858;Ruse;ruse;43.833381;25.955587;BG
27859;Sofia;sofia;42.712022;23.320727;BG
27860;Varna;varna;43.198411;27.912297;BG
32235;Razgrad;razgrad;43.5336719;26.5411165;BG
32243;Shumen;shumen;43.2712398;26.9361286;BG
32329;Novi Pazar;novi-pazar-gara;43.326881;27.1656;BG
32330;Sliven;sliven;42.68583;26.32917;BG
32331;Stara Zagora;stara-zagora;42.43278;25.64194;BG
33373;Montana;montana;43.25;23.14;BG
33387;Pleven;pleven;43.4170423;24.6066847;BG
34722;Vidin;vidin;43.996159;22.8679302;BG
34749;Ahtopol;ahtopol;42.099405;27.93964;BG
34750;Archar;archar;43.810743;22.91911;BG
34751;Smirnenski;smirnenski;43.764297;26.29915;BG
34752;Chernomorets;chernomorets;42.444263;27.63832;BG
34753;Dobri Dol;dobri-dol;42.129968;25.312524;BG
34754;Dabova Mahala;dabova-mahala;43.683113;23.017539;BG
34755;Lozenets;lozenets;42.208265;27.806617;BG
34756;Studeno Buche;studeno-buche;43.457744;23.19224;BG
34757;Botevo;botevo;43.429192;27.720252;BG
34758;Doktor Yosifovo;doktor-yosifovo;43.506553;23.147614;BG
34759;Kiten;kiten;42.234706;27.770956;BG
34760;Primorsko;primorsko;42.266739;27.745724;BG
34761;Topolovets;topolovets;43.987205;22.62133;BG
34762;Drenovets;drenovets;43.693383;22.981765;BG
34763;Slavotin;slavotin;43.558484;23.068326;BG
34764;Sozopol;sozopol;42.417263;27.696175;BG
34765;Vratsa;vratsa;43.207304;23.559833;BG
34766;Krapchene;krapchene;43.385055;23.303366;BG
34767;Tsarevo;tsarevo;42.1650929;27.8431995;BG
34787;Sunny Beach;sunny-beach;42.6883305;27.7139182;BG
35106;Blagoevgrad;blagoevgrad;42.015326;23.0829862000001;BG
35264;Sandanski;sandanski;41.538995;23.2716522;BG
35266;Nesebar;nesebar;42.6626267;27.7191464;BG
35268;Obzor;obzor;42.8167938;27.8787821999999;BG
35362;Ravda;ravda;42.6443689;27.6780102;BG
35364;Pomorie;pomorie;42.5697568;27.6112949;BG
35375;Kardzhali;kardzhali;41.6329602;25.3779918;BG
35376;Haskovo;haskovo;41.932977;25.5614195000001;BG
35666;Silistra;silistra;44.118763;27.259751;BG
35670;Veliko Tarnovo;veliko-tarnovo;43.076309;25.63286;BG
35835;Sofia Airport;sofia-airport;42.6885203;23.39719025;BG
35837;Plovdiv Airport;plovdiv-airport;42.071428;24.8622985;BG
35838;Burgas Airport;burgas-airport;42.5650814;27.4991571;BG
35839;Varna Airport;varna-airport;43.2375259;27.8110737;BG
35840;Bansko;bansko;41.8358592;23.4668515;BG
35929;Borovets;borovets;42.2671649;23.5864626;BG
