id;name;uic;lat;lon;country
14563;Vejprty (Gr);vejprty-gr;50.500984;13.034103;CZ
17503;Brno hl.n.;brno-hl-n;49.190537;16.612775;CZ
17505;Děčín hl.n.;decin-hl-n;50.773411;14.201248;CZ
17506;Karlovy Vary;karlovy-vary;50.235668;12.866853;CZ
17507;Liberec;liberec;50.761429;15.045946;CZ
17508;Olomouc hl.n.;olomouc-hl-n;49.593128;17.277932;CZ
17509;Praha hl.n.;praha-hl-n;50.083058;14.436037;CZ
17510;Teplice v Čechách;teplice-v-cechach;50.646762;13.828807;CZ
17511;Ústí nad Labem hl.n.;usti-nad-labem-hl-n;50.659563;14.044728;CZ
17587;Praha;praha;50.0819250000;14.4514810000;CZ
17588;Praha hl.n. Wilsonova;praha-hl-n-wilsonova;50.0833720000;14.4346170000;CZ
18577;Plzeň hl.n.;plzen-hl-n;49.7431670000;13.3882460000;CZ
18578;Kolín;kolin;50.0254010000;15.2135320000;CZ
18579;Česka Lípa hl.n.;ceska-lipa-hl-n;50.6790790000;14.5409500000;CZ
18580;Praha-Libeň;praha-liben;50.1012610000;14.5014340000;CZ
18581;Pardubice hl.n.;pardubice-hl-n;50.0312620000;15.7587100000;CZ
18582;Praha-Holešovice;praha-holesovice;50.1102140000;14.4400100000;CZ
18583;Praha-Smíchov;praha-smichov;50.0614840000;14.4088720000;CZ
18584;Praha-Vršovice;praha-vrsovice;50.0611690000;14.4570630000;CZ
18585;Praha-Dejvice;praha-dejvice;50.0972880000;14.3996850000;CZ
18586;Nove Údolí;nove-udoli;48.8314810000;13.7955650000;CZ
18587;Praha-Bubeneč;praha-bubenec;50.1073290000;14.4086290000;CZ
18588;Praha-Bubny;praha-bubny;50.1003890000;14.4240640000;CZ
18589;Praha-Smíchov sev.n.;praha-smichov-sev-n;50.0632280000;14.4063640000;CZ
18590;Praha-Strašnice zastávka;praha-strasnice-zastavka;50.0629670000;14.4958960000;CZ
18591;Praha-Zbraslav;praha-zbraslav;49.9681400000;14.4023550000;CZ
18592;Praha Nádraží Holešovice (M);praha-nadrazi-holesovice-m;50.1102140000;14.4400100000;CZ
18593;Praha Smíchovské nádraží (M);praha-smichovske-nadrazi-m;50.0607830000;14.4078110000;CZ
18594;Praha Náměstí Republiky (M);praha-namesti-republiky-m;50.0883700000;14.4324510000;CZ
22627;Klatovy;klatovy;49.401487;13.27411;CZ
22628;Břeclav;breclav;48.753904;16.893239;CZ
22629;Domažlice;domazlice;49.434693;12.944583;CZ
22630;Cheb;cheb;50.073493;12.380699;CZ
23005;Praha Masarykovo n.;praha-masarykovo-n;50.087734;14.433003;CZ
23612;Chomutov;chomutov;50.4566;13.39958;CZ
27862;Adamov;adamov;49.295649;16.662894;CZ
27863;Bakov nad Jizerou;bakov-nad-jizerou;50.479032;14.939258;CZ
27864;Bělá pod Bezdězem;bela-pod-bezdezem;50.488382;14.835583;CZ
27865;Bělčice;belcice;49.504267;13.885902;CZ
27866;Benešov nad Ploučnicí;benesov-nad-ploucnici;50.7386;14.304971;CZ
27867;Benešov u Prahy;benesov-u-prahy;49.779843;14.683052;CZ
27868;Beroun;beroun;49.957493;14.075787;CZ
27869;Bílina;bilina;50.554124;13.772829;CZ
27870;Blansko;blansko;49.35415;16.644475;CZ
27871;Blatná;blatna;49.43084;13.872879;CZ
27872;Blatno u Jesenice;blatno-u-jesenice;50.100062;13.390159;CZ
27873;Blížejov;blizejov;49.501404;12.994872;CZ
27874;Bludov;bludov;49.927767;16.938552;CZ
27875;Bludov lázně;bludov-lazne;49.941297;16.90252;CZ
27876;Bělotín;belotin;49.584363;17.799242;CZ
27877;Biskupice u Luhačovic;biskupice-u-luhacovic;49.077194;17.716619;CZ
27878;Blažovice;blazovice;49.163912;16.798843;CZ
27879;Bohutice;bohutice;48.987959;16.356028;CZ
27880;Bojkovice;bojkovice;49.035985;17.79555;CZ
27881;Branná;branna;50.147004;17.014842;CZ
27882;Bohuslavice u Kyjova;bohuslavice-u-kyjova;49.054471;17.11918;CZ
27883;Brankovice;brankovice;49.150354;17.133729;CZ
27884;Brniště;brniste;50.716476;14.728819;CZ
27885;Brno-Slatina;brno-slatina;49.16831;16.682704;CZ
27886;Brno-Královo Pole;brno-kralovo-pole;49.23055;16.596175;CZ
27887;Bruntál;bruntal;49.993842;17.474369;CZ
27888;Břest Nadrazi;brest-nadrazi;49.349315;17.45536;CZ
27889;Březno u Chomutova;brezno-u-chomutova;50.396153;13.421118;CZ
27890;Brumov;brumov;49.461739;16.426646;CZ
27891;Březnice;breznice;49.558057;13.963859;CZ
27892;Bučovice;bucovice;49.145653;16.999554;CZ
27893;Bylnice;bylnice;49.067458;18.014216;CZ
27894;Bystrice pod Hostýnem;bystrice-pod-hostynem;49.393203;17.665671;CZ
27895;Bzenec;bzenec;48.969183;17.263244;CZ
27896;Mariánské Lázně;marianske-lazne;49.957058;12.695051;CZ
27897;Čáslav;caslav;49.914973;15.394518;CZ
27898;Častolovice;castolovice;50.128352;16.173844;CZ
27899;Čerčany;cercany;49.851434;14.702051;CZ
27900;Česka Kamenice;ceska-kamenice;50.795868;14.414092;CZ
27901;Bohumín;bohumin;49.901053;18.35892;CZ
27902;Česka Metuje;ceska-metuje;50.55234;16.184631;CZ
27903;České Velenice;ceske-velenice;48.769623;14.957364;CZ
27904;Česky Těšín;cesky-tesin;49.743626;18.622847;CZ
27905;Číčenice;cicenice;49.153576;14.221632;CZ
27906;Čimelice;cimelice;49.470355;14.076594;CZ
27907;Čížova;cizova;49.353744;14.097735;CZ
27908;Chlumec nad Cidlinou;chlumec-nad-cidlinou;50.163555;15.457187;CZ
27909;Choceň;chocen;49.993758;16.22398;CZ
27910;Chodov;chodov;50.031596;14.490891;CZ
27911;Chomutov Město;chomutov-mesto;50.469866;13.414047;CZ
27912;Chotěboř;chotebor;49.711926;15.682627;CZ
27913;Chrast u Chrudimi;chrast-u-chrudimi;49.901399;15.910726;CZ
27914;Chrudim;chrudim;49.948249;15.787034;CZ
