id;name;uic;lat;lon;country
17512;Aalborg St.;aalborg-st;57.043127;9.916486;DK
17513;Aarhus;aarhus;56.150075;10.204995;DK
17514;Kolding St.;kolding-st;55.490842;9.481525;DK
17515;København;kobenhavn;55.672721;12.564618;DK
17516;Odense St.;odense-st;55.401777;10.386001;DK
17517;Roskilde St.;roskilde-st;55.639012;12.088855;DK
17594;Fredericia St.;fredericia-st;55.5680870000;9.7388140000;DK
17595;Tinglev St.;tinglev-st;54.9361720000;9.2582330000;DK
18595;Alken St.;alken-st;56.0525960000;9.8457680000;DK
18596;Ålsgårde St.;alsgarde-st;56.0750600000;12.5377040000;DK
18597;Arden St.;arden-st;56.7692520000;9.8598270000;DK
18598;Aulum St.;aulum-st;56.2641310000;8.7874500000;DK
18599;Bedsted Thy St.;bedsted-thy-st;56.8060360000;8.4070260000;DK
18600;Bjerringbro St.;bjerringbro-st;56.3742480000;9.6581180000;DK
18601;Bording St.;bording-st;56.1467400000;9.2782250000;DK
18602;Børkop St.;borkop-st;55.6420680000;9.6523290000;DK
18603;Borris St.;borris-st;55.9581920000;8.6440360000;DK
18604;Borup St.;borup-st;55.4948970000;11.9729300000;DK
18605;Bramming St.;bramming-st;55.4645130000;8.7067800000;DK
18606;Brande St.;brande-st;55.9396290000;9.1238800000;DK
18607;Bred St.;bred-st;55.3732910000;10.1057720000;DK
18608;Bredebro St.;bredebro-st;55.0568970000;8.8230650000;DK
18609;Brejning St.;brejning-st;55.6666710000;9.6591870000;DK
18610;Brønderslev St.;bronderslev-st;57.2703560000;9.9425180000;DK
18611;Brøns St.;brons-st;55.1946930000;8.7407510000;DK
18612;Brørup St.;brorup-st;55.4826800000;9.0155960000;DK
18613;Bur St.;bur-st;56.3677760000;8.4261010000;DK
18614;Døstrup St. (Sønderjylland);dostrup-st-sonderjylland;55.1174850000;8.8078640000;DK
18615;Dronningmølle St.;dronningmolle-st;56.0976770000;12.3875750000;DK
18616;Ejby St.;ejby-st;55.4287450000;9.9298890000;DK
18617;Engesvang St.;engesvang-st;56.1677300000;9.3516660000;DK
18618;Firhøj St. (Gilleleje);firhoj-st-gilleleje;56.0983250000;12.3557270000;DK
18619;Fjellenstrup St.;fjellenstrup-st;56.1164380000;12.2982230000;DK
18620;Frederikshavn St.;frederikshavn-st;57.4426790000;10.5406700000;DK
18621;Fruens Bøge St.;fruens-boge-st;55.3696230000;10.3775240000;DK
18622;Gadstrup St.;gadstrup-st;55.5729860000;12.0994260000;DK
18623;Gaarde St.;gaarde-st;55.7638810000;8.6112880000;DK
18624;Gelsted St.;gelsted-st;55.3962130000;9.9743940000;DK
18625;Give St.;give-st;55.8427610000;9.2367570000;DK
18626;Glumsø St.;glumso-st;55.3533340000;11.6958290000;DK
18627;Gørding St.;gording-st;55.4696010000;8.8009780000;DK
18628;Græsted St.;graested-st;56.0730470000;12.2865190000;DK
18629;Græsted Syd St.;graested-syd-st;56.0635090000;12.2952560000;DK
18630;Gråsten St.;grasten-st;54.9187060000;9.5939260000;DK
18631;Gredstedbro St.;gredstedbro-st;55.3974270000;8.7410650000;DK
18632;Grenaa St.;grenaa-st;56.4124890000;10.8799950000;DK
18633;Grønnehave St. (Helsingør);gronnehave-st-helsingor;56.0402270000;12.6110020000;DK
18634;Guldager St.;guldager-st;55.5359590000;8.4403220000;DK
18635;Hadsten St.;hadsten-st;56.3274420000;10.0471890000;DK
18636;Hammerum St.;hammerum-st;56.1318180000;9.0632300000;DK
18637;Haslev St.;haslev-st;55.3295220000;11.9608660000;DK
18638;Havdrup St.;havdrup-st;55.5435460000;12.1171170000;DK
18639;Hee St.;hee-st;56.1440710000;8.2866610000;DK
18640;Hellebæk St.;hellebaek-st;56.0666730000;12.5536870000;DK
18641;Herfølge St.;herfolge-st;55.4178410000;12.1371090000;DK
18642;Hinnerup St.;hinnerup-st;56.2630880000;10.0594860000;DK
18643;Hjallese St.;hjallese-st;55.3582250000;10.3926080000;DK
18644;Hjerm St.;hjerm-st;56.4395370000;8.6390560000;DK
18645;Hjørring St.;hjorring-st;57.4563970000;9.9874560000;DK
18646;Hobro St.;hobro-st;56.6433760000;9.7822500000;DK
18647;Højby Fyn St.;hojby-fyn-st;55.3302140000;10.4339590000;DK
18648;Højslev St.;hojslev-st;56.5494300000;9.1102790000;DK
18649;Højstrup St.;hojstrup-st;56.0471040000;12.5941120000;DK
18650;Holbæk St.;holbaek-st;55.7154830000;11.7083680000;DK
18651;Holme-Olstrup St.;holme-olstrup-st;55.2610240000;11.8486360000;DK
18652;Holmstrup St.;holmstrup-st;55.3620090000;10.2719550000;DK
18653;Holsted St.;holsted-st;55.4848290000;8.9137120000;DK
18654;Hørdum St.;hordum-st;56.8506860000;8.4901760000;DK
18655;Hornbæk St.;hornbaek-st;56.0891650000;12.4594620000;DK
18656;Horneby Sand St.;horneby-sand-st;56.0899650000;12.4352630000;DK
18657;Humlebæk St.;humlebaek-st;55.9638100000;12.5329310000;DK
18658;Humlum St.;humlum-st;56.5404500000;8.5524000000;DK
18659;Hurup Thy St.;hurup-thy-st;56.7515890000;8.4182090000;DK
18660;Hvalsø St.;hvalso-st;55.5953060000;11.8596480000;DK
18661;Hvidbjerg St.;hvidbjerg-st;56.6503340000;8.5261690000;DK
18662;Hviding St.;hviding-st;55.2744630000;8.7301520000;DK
18663;Ikast St.;ikast-st;56.1449160000;9.1551800000;DK
18664;Jelling St.;jelling-st;55.7538940000;9.4220610000;DK
18665;Jyderup St.;jyderup-st;55.6603070000;11.3979800000;DK
18666;Kagerup St. (Hillerød);kagerup-st-hillerod;55.9972590000;12.2861860000;DK
18667;Kalundborg St.;kalundborg-st;55.6777460000;11.0900810000;DK
18668;Karinebæk St.;karinebaek-st;56.0831690000;12.4682090000;DK
18669;Kauslunde St.;kauslunde-st;55.4759560000;9.8105300000;DK
18670;Kibæk St.;kibaek-st;56.0321280000;8.8515160000;DK
