id;name;uic;lat;lon;country
1544;Irún;irun;;;ES
3235;Canfranc;canfranc;;;ES
4930;Port-Bou;port-bou;;;ES
4985;Port-Bou;port-bou;;;ES
4986;Port-Bou;port-bou;42.424725;3.157847;ES
5278;Latour-de-Carol;latour-de-carol;;;ES
6404;Tortosa;tortosa;40.807197;0.523576;ES
6405;Manzanares-Soto el Real;manzanares-soto-el-real;;;ES
6406;El Arahal;el-arahal;37.268404;-5.548744;ES
6407;Pinos Puente;pinos-puente;37.2511;-3.74967;ES
6408;Albacete-Los Llanos;albacete-los-llanos;39.000086;-1.847579;ES
6409;Marchena;marchena;37.334322;-5.425466;ES
6410;Lorca Sutullena;lorca-sutullena;37.671687;-1.696264;ES
6411;Osuna;osuna;37.23367;-5.114799;ES
6412;Gudillos;gudillos;40.717089;-4.157717;ES
6413;Pedrera;pedrera;37.222101;-4.894635;ES
6414;Estepar;estepar;;;ES
6415;Quintanilleja;quintanilleja;;;ES
6416;Loja;loja;37.16887;-4.15129;ES
6417;Loja – San Francisco;loja-san-francisco;37.174944;-4.149825;ES
6418;Navas de Riofrío – La Losa;navas-de-riofrio-la-losa;40.856684;-4.141155;ES
6419;Villanueva de Tapia;villanueva-de-tapia;;;ES
6420;Archidona;archidona;37.09654;-4.38869;ES
6421;El Pinar;el-pinar;;;ES
6422;Camorritos;camorritos;;;ES
6423;La Maya y Fresno;la-maya-y-fresno;;;ES
6424;Antequera Ciudad;antequera-ciudad;37.028276;-4.561063;ES
6425;Puerto de Navacerrada;puerto-de-navacerrada;40.7842464;-4.0050168;ES
6426;Calamocha Nueva;calamocha-nueva;40.903354;-1.30028;ES
6427;Bembibre;bembibre;42.60975;-6.422504;ES
6428;Los Cotos;los-cotos;40.8223493;-3.9644101;ES
6429;Toral de los Vados;toral-de-los-vados;42.541;-6.776653;ES
6430;San Clodio-Quiroga;san-clodio-quiroga;42.465122;-7.287231;ES
6431;Las Matas;las-matas;40.552335;-3.896922;ES
6432;Vega Magaz;vega-magaz;42.553585;-6.068347;ES
6433;Valladolid Campo Grande;valladolid-campo-grande;41.641971;-4.727004;ES
6434;Ciruelos;ciruelos;39.9385333;-3.6148151;ES
6435;Briviesca;briviesca;42.542555;-3.319194;ES
6436;Vitoria – Gasteiz;vitoria-gasteiz;42.841213;-2.672618;ES
6437;Zumárraga;zumarraga;43.08705;-2.320025;ES
6438;Linares-Congostinas;linares-congostinas;43.101244;-5.772243;ES
6439;Irún;irun;;;ES
6440;Villanueva del Rio y Minas;villanueva-del-rio-y-minas;37.661125;-5.711467;ES
6441;Alcolea del Rio;alcolea-del-rio;37.6355;-5.73091;ES
6442;Pola de Lena;pola-de-lena;43.16089;-5.828784;ES
6443;Palencia;palencia;42.01585;-4.533826;ES
6444;Sahagún;sahagun;42.36954;-5.022291;ES
6445;Riaza;riaza;41.27826;-3.47787;ES
6446;Lerma;lerma;42.0254298;-3.7600156;ES
6447;Villalba de Guadarrama;villalba-de-guadarrama;40.626424;-4.00811;ES
6448;Reinosa;reinosa;42.994021;-4.140934;ES
6449;Ponferrada;ponferrada;42.545576;-6.60263;ES
6450;A Rúa-Petín;a-rua-petin;42.392561;-7.11329;ES
6451;Monforte de Lemos;monforte-de-lemos;42.52953;-7.503215;ES
