id;name;uic;lat;lon;country
28726;Ähtäri;ahtari;62.55425499627312;24.06413310484153;FI
28727;Ainola;ainola;60.45689688035013;25.10200142216575;FI
28728;Alavus;alavus;62.61879008105599;23.60032043483237;FI
28729;Aviapolis;aviapolis;60.30811424172377;24.94216203376418;FI
28730;Dragsvik;dragsvik;59.99018622330809;23.48848277293921;FI
28731;Eläinpuisto-Zoo;elainpuisto-zoo;62.54196048239192;24.19052147136339;FI
28732;Eno;eno;62.80739115925199;30.1444692751829;FI
28733;Espoo;espoo;60.20510797448899;24.65629604057808;FI
28734;Haapajärvi;haapajarvi;63.75598605697383;25.33504397700235;FI
28735;Haapamäki;haapamaki;62.24727179744995;24.45538460636615;FI
28736;Haarajoki;haarajoki;60.49641177527236;25.13432076905867;FI
28737;Haksi;haksi;60.40832210526497;25.55532971409968;FI
28738;Hankasalmi;hankasalmi;62.30369081978604;26.47927657389044;FI
28739;Hanko asema;hanko-asema;59.83216483675099;22.96725680126441;FI
28740;Hanko-Pohjoinen;hanko-pohjoinen;59.83637355322419;22.98727069275053;FI
28741;Harjavalta;harjavalta;61.31018484037882;22.13252955814302;FI
28742;Haukivuori;haukivuori;62.02640958971943;27.20404388201361;FI
28743;Heinävesi;heinavesi;62.38341563302244;28.64545928846077;FI
28744;Helsinki asema;helsinki-asema;60.17212991202909;24.94166179681815;FI
28745;Herrala;herrala;60.89725649134288;25.47627236927306;FI
28746;Hiekkaharju;hiekkaharju;60.30342182032933;25.0496809962936;FI
28747;Hikiä;hikia;60.75284618730815;24.91962463566703;FI
28748;Hinthaara;hinthaara;60.39987907980552;25.47858083485383;FI
28749;Humppila;humppila;60.91984006390076;23.36255340386297;FI
28750;Huopalahti;huopalahti;60.21840883796605;24.89386194885081;FI
28751;Hyvinkää;hyvinkaa;60.6316641862013;24.85784904156818;FI
28752;Hämeenlinna;hameenlinna;61.00298160757058;24.47854305097218;FI
28753;Höljäkkä;holjakka;63.45616830469028;29.4466687514769;FI
28754;Iisalmi;iisalmi;63.56147907566565;27.20262818577507;FI
28755;Iittala;iittala;61.0909785152791;24.14094199139784;FI
28756;Ilmala asema;ilmala-asema;60.20819328050915;24.9209933411811;FI
28757;Imatra asema;imatra-asema;61.19643095438538;28.77835360228254;FI
28758;Inkeroinen;inkeroinen;60.69701604632928;26.84018370080148;FI
28759;Inkoo;inkoo;60.06150188518101;23.93583299884374;FI
28760;Isokyrö;isokyro;62.9522296726105;22.39416022094283;FI
28761;Joensuu asema;joensuu-asema;62.60047281314301;29.77963440728452;FI
28762;Jokela;jokela;60.55302681210605;24.97099545231932;FI
28763;Jorvas;jorvas;60.13790771536286;24.51302674858426;FI
28764;Joutseno;joutseno;61.12065627497296;28.49016307128143;FI
28765;Juupajoki;juupajoki;61.79747493174501;24.36525271438556;FI
28766;Jyväskylä;jyvaskyla;62.24072261918303;25.75235847120801;FI
28767;Jämsä;jamsa;61.86633502042542;25.17384101564176;FI
28768;Järvelä;jarvela;60.86762887646247;25.27523233784601;FI
28769;Järvenpää asema;jarvenpaa-asema;60.47379087798299;25.09133535334629;FI
28770;Kajaani;kajaani;64.22134818565351;27.74037535201143;FI
28771;Kannelmäki;kannelmaki;60.23961351888685;24.87739793585336;FI
28772;Kannus;kannus;63.89996199297379;23.9154166323965;FI
28773;Karjaa;karjaa;60.06879796731013;23.66134230649959;FI
28774;Karkku;karkku;61.44386093879866;23.04877799267037;FI
28775;Kauhava;kauhava;63.1008552812896;23.03493667643516;FI
28776;Kauklahti asema;kauklahti-asema;60.18948776635573;24.60062224024251;FI
28777;Kauniainen;kauniainen;60.21198020687413;24.73120572048259;FI
28778;Kausala;kausala;60.88562227428591;26.33057662511227;FI
28779;Kemi;kemi;65.73897044660536;24.57476523121654;FI
28780;Kemijärvi;kemijarvi;66.72691481590206;27.40557248529874;FI
28781;Kera;kera;60.21661454706508;24.75597983344263;FI
28782;Kerava asema;kerava-asema;60.40445695324774;25.10650923336211;FI
28783;Kerimäki;kerimaki;61.86205939170382;29.11630332487318;FI
28784;Kesälahti;kesalahti;61.88811556310208;29.80539917459317;FI
28785;Keuruu;keuruu;62.25617730257416;24.70768314163287;FI
28786;Kiiala;kiiala;60.40683412066142;25.61388941766215;FI
28787;Kilo;kilo;60.2179810462962;24.78275092806289;FI
28788;Kirkkonummi;kirkkonummi;60.11964712190518;24.43921008018712;FI
28789;Kitee;kitee;62.14361201480745;30.05176705131929;FI
28790;Kiuruvesi;kiuruvesi;63.64231983081709;26.61260659303929;FI
28791;Kivistö;kivisto;60.31137344814794;24.86410617265545;FI
28792;Kohtavaara;kohtavaara;63.5164502661065;29.28673891969713;FI
28793;Koivuhovi;koivuhovi;60.20718552839824;24.70159450182923;FI
28794;Koivukylä;koivukyla;60.32360859981147;25.06048421779855;FI
28795;Kokemäki;kokemaki;61.25467096622639;22.3026816020037;FI
28796;Kokkola;kokkola;63.83593954203648;23.13078672933115;FI
