id;name;uic;lat;lon;country
26602;Muine Bheag;muine-bheag;52.699098;-6.952521;IE
26623;Arklow;arklow;52.7988279991;-6.1621365;IE
26624;Athenry;athenry;53.3025244991;-8.7486585;IE
26625;Athlone;athlone;53.4279724991;-7.939653;IE
26626;Athy;athy;52.9928934991;-6.97657;IE
26627;Ballina;ballina;54.1130524991;-9.1592605;IE
26628;Ballinasloe;ballinasloe;53.3362619991;-8.239186;IE
26629;Ballybrophy;ballybrophy;52.8981884991;-7.6075125;IE
26630;Ballyhaunis;ballyhaunis;53.7611044991;-8.7592395;IE
26631;Ballymote;ballymote;54.0879699991;-8.520787;IE
26632;Banteer;banteer;52.1295664991;-8.893986;IE
26633;Birdhill;birdhill;52.7661514991;-8.442094;IE
26634;Boyle;boyle;53.9644169991;-8.3005125;IE
26635;Carlow;carlow;52.8430859991;-6.922894;IE
26636;Castlebar;castlebar;53.8473074991;-9.289426;IE
26637;Castlerea;castlerea;53.7656729991;-8.4887365;IE
26638;Charleville;charleville;52.3397994991;-8.6610185;IE
26639;Clara;clara;53.3336859991;-7.6205125;IE
26640;Claremorris;claremorris;53.7177504991;-9.000106;IE
26641;Clonmel;clonmel;52.3618544991;-7.687379;IE
26642;Collooney;collooney;54.1863329991;-8.4941815;IE
26643;Drogheda;drogheda;53.7108214991;-6.3350235;IE
26644;Dromod;dromod;53.8587774991;-7.916057;IE
26645;Dundalk;dundalk;54.0000914991;-6.4117175;IE
26646;Ennis;ennis;52.8403129991;-8.9753975;IE
26647;Enniscorthy;enniscorthy;52.5018654991;-6.568806;IE
26648;Farranfore;farranfore;52.1751059991;-9.552423;IE
26649;Foxford;foxford;53.9823279991;-9.1366635;IE
26650;Galway;galway;53.2741204991;-9.048094;IE
26651;Gorey;gorey;52.6703649991;-6.2924685;IE
26652;Greystones;greystones;53.1463974991;-6.0640095;IE
26653;Kildare;kildare;53.1543749991;-6.9652225;IE
26654;Kilkenny;kilkenny;52.6525809991;-7.2268905;IE
26655;Killarney;killarney;52.0693289991;-9.505965;IE
26656;Limerick;limerick;52.6561204991;-8.6063545;IE
26657;Limerick Junction;limerick-junction;52.4974709991;-8.2044575;IE
26658;Longford;longford;53.7255174991;-7.790312;IE
26659;Mallow;mallow;52.1359824991;-8.662459;IE
26660;Millstreet;millstreet;52.0774554991;-9.0711685;IE
26661;Mosney;mosney;53.6504994991;-6.225105;IE
26662;Mullingar;mullingar;53.5216879991;-7.338903;IE
26663;Nenagh;nenagh;52.8599079991;-8.19536;IE
26664;Portlaoise;portlaoise;53.0356379991;-7.3040055;IE
26665;Rathdrum;rathdrum;52.9389304991;-6.215727;IE
26666;Rathmore;rathmore;52.0863329991;-9.216922;IE
26667;Roscommon;roscommon;53.6290974991;-8.211503;IE
26668;Roscrea;roscrea;52.9583629991;-7.796555;IE
26669;Rosslare Harbour;rosslare-harbour;52.2545749991;-6.3339935;IE
26670;Rosslare Strand;rosslare-strand;52.2711944991;-6.3910095;IE
26671;Sligo;sligo;54.2712324991;-8.487385;IE
26672;Templemore;templemore;52.7971144991;-7.797725;IE
26673;Thomastown;thomastown;52.5133704991;-7.1543445;IE
26674;Thurles;thurles;52.6772309991;-7.821903;IE
26675;Tipperary;tipperary;52.4700949991;-8.1712305;IE
26676;Tralee;tralee;52.2719879991;-9.698882;IE
26677;Tullamore;tullamore;53.2697589991;-7.499324;IE
26678;Waterford;waterford;52.2647399991;-7.1064625;IE
26679;Westport;westport;53.7968904991;-9.5112455;IE
26680;Wexford;wexford;52.3413874991;-6.4618775;IE
26681;Wicklow;wicklow;52.9885974991;-6.0660715;IE
26682;Woodlawn;woodlawn;53.3427949991;-8.473797;IE
26683;Carrick-On-Shannon;carrick-on-shannon;53.9385619991;-8.1037075;IE
26684;Carrick-On-Suir;carrick-on-suir;52.3478394991;-7.402704;IE
26685;Castle Connell;castle-connell;52.6919364991;-8.501293;IE
26686;Dublin Connolly;dublin-connolly;53.3517919991;-6.2495215;IE
26687;Dublin Heuston;dublin-heuston;53.3458329991;-6.2952985;IE
26688;Cork;cork;51.9025229991;-8.4537085;IE
26689;Manulla Junction;manulla-junction;53.8270974991;-9.2005205;IE
26691;Attymon;attymon;53.3234739991;-8.6066955;IE
26692;Cahir;cahir;52.3757459991;-7.921141;IE
26693;Cloughjordan;cloughjordan;52.9365154991;-8.023078;IE
26694;Droichead Nua;droichead-nua;53.1854144991;-6.8096545;IE
26695;Enfield;enfield;53.4130439991;-6.8405045;IE
26696;Mostrim;mostrim;53.6866034991;-7.591559;IE
26697;Portarlington;portarlington;53.1535764991;-7.201183;IE
32352;Dungarvan;dungarvan;52.08806;-7.62528;IE
32353;New Ross;new-ross;52.39667;-6.93667;IE
34264;Dublin;dublin;53.346401650000004;-6.2606951500000605;IE
34265;Dublin Airport;dublin-airport;53.42801115;-6.240388650000005;IE
35133;Cork Airport;cork-airport;51.8489731525078;-8.48902381340349;IE
35181;Clifden;clifden;53.553104;-10.020934;IE
35864;Ballyvourney;ballyvourney;51.9048039;-8.95884780000006;IE
35865;Bandung;bandung;51.7466022;-8.73548840000001;IE
35866;Bantry;bantry;51.6797257;-9.45150779999995;IE
35867;Belturbet;belturbet;54.1018435;-7.45028639999998;IE
35868;Caher;caher;52.9551159;-7.79815239999994;IE
35869;Castleblayney;castleblayney;54.119621;-6.73665260000007;IE
35870;Clonakilty;clonakilty;51.6233007;-8.89048409999998;IE
35871;Ferns;ferns;52.5896646;-6.49632680000002;IE
35873;Strokestown;strokestown;53.8097355;-8.31160669999997;IE
35874;Glengarriff;glengarriff;51.7500687;-9.55319810000003;IE
35875;Goleen;goleen;51.4928788;-9.71057829999995;IE
35876;Inishannon;inishannon;52.1677004;-8.45471210000005;IE
35877;Kells;kells;53.7269308;-6.87406169999997;IE
35878;Kilbeggan;kilbeggan;53.3685447;-7.49972609999998;IE
35880;Knock;knock;53.7915147;-8.92176040000004;IE
35881;Letterkenny;letterkenny;54.9532038;-7.7288982;IE
35882;Lifford;lifford;54.702915;-7.98282760000006;IE
35883;Mitchelstown;mitchelstown;52.2660045;-8.2707226;IE
35884;Moate;moate;53.3900051;-7.57459249999999;IE
35885;Monaghan;monaghan;54.2495727;-6.97134589999996;IE
35886;Virginia;virginia;53.8342635;-7.08108719999996;IE
35887;Callan;callan;52.5439121;-7.39582770000004;IE
35889;Youghal;youghal;51.9558155;-7.8503185;IE
35901;Kinsale;kinsale;51.7313732;-8.59696469999994;IE
35912;Abbeyfeale;abbeyfeale;52.4716776;-9.02045090000001;IE
35915;Midleton;midleton;51.913317;-8.17185;IE
35917;Kinnegad;kinnegad;53.6112507;-7.09388469999999;IE
35918;Grangemockler;grangemockler;52.4434943;-7.46920290000003;IE
35921;Rathnew;rathnew;52.9936136;-6.0862429;IE
35925;Carrickmacross;carrickmacross;53.9782073;-6.72515820000001;IE
35942;Skibbereen;skibbereen;51.5496068;-9.26960910000003;IE
35946;Ballineen;ballineen;51.7095072;-9.1261538;IE
35947;Ballydehob;ballydehob;51.5630082;-9.4553674;IE
35948;Ballyshannon;ballyshannon;55.1236569;-8.13062979999995;IE
35953;Shannon Airport;shannon-airport;52.6996573;-8.91469110000003;IE
35984;Edgeworthstown;edgeworthstown;53.697078;-7.61198279999996;IE
35985;Naas;naas;53.2198974;-6.66021590000003;IE
35987;Adare;adare;52.5650972;-8.78664370000001;IE
35988;Ardee;ardee;53.8639093;-6.54101190000006;IE
35989;Ballaghadereen;ballaghadereen;53.9014244;-8.57739609999999;IE
35990;Cashel;cashel;52.446162;-8.06219099999998;IE
35991;Cavan;cavan;53.9926782;-7.36188370000002;IE
35992;Charlestown;charlestown;53.8143551;-8.89753859999996;IE
35993;Listowel;listowel;52.4170377;-9.50951239999995;IE
35994;Loughrea;loughrea;53.205469;-8.60122730000001;IE
35995;Macroom;macroom;51.9044425;-8.95316639999999;IE
35996;Navan;navan;53.653232;-6.68641060000005;IE
35997;Newbridge Station;newbridge-station;53.181869;-6.79537679999999;IE
35998;Newcastlewest;newcastlewest;52.4487133;-9.0539397;IE
35999;Newtownforbes;newtownforbes;53.7171086;-7.74077650000004;IE
36000;Swinford;swinford;53.9818261;-9.10954670000001;IE
36001;Shannon;shannon;52.7068922;-8.86830340000006;IE
36002;Tramore;tramore;52.1623386;-7.14858830000003;IE
36004;Donegal;donegal;54.6349763;-8.11828949999995;IE
36005;Drimoleague;drimoleague;51.6602259;-9.26058950000004;IE
36006;Dunmanway;dunmanway;52.1729282;-8.4627911;IE
36007;Fermoy;fermoy;52.1335655;-8.64100659999997;IE
36014;Rosscarbery;rosscarbery;51.8126682;-8.30230349999999;IE
36015;Schull;schull;51.5271003;-9.54762890000006;IE
68040;Bray;bray;53.196935804999995;-6.1055936355;IE
68041;Maynooth;maynooth;53.3797;-6.58902;IE
