id;name;uic;lat;lon;country
8589;Mersch;mersch;49.748893;6.106111;LU
8590;Troisvierges;troisvierges;50.119356;5.990447;LU
8591;Wasserbillig Frontière;wasserbillig-frontiere;;;LU
8592;Wasserbillig;wasserbillig;;;LU
8593;Esch-sur-Alzette;esch-sur-alzette;;;LU
8594;Differdange;differdange;49.528325;5.891952;LU
8595;Wiltz;wiltz;49.966719;5.928448;LU
8596;Dudelange-Ville;dudelange-ville;49.483377;6.083014;LU
8597;Diekirch;diekirch;49.864755;6.153314;LU
8599;Rodange;rodange;;;LU
8600;Bettembourg;bettembourg;;;LU
8603;Kautenbach;kautenbach;49.94919;6.021702;LU
8604;Luxembourg;luxembourg;49.599717;6.134391;LU
8605;Pétange;petange;49.554195;5.879169;LU
8606;Rodange;rodange;49.551283;5.845028;LU
8731;Luxembourg;luxembourg;;;LU
9209;Bettembourg Frontière;bettembourg-frontiere;49.47207;6.107855;LU
9864;Luxembourg;luxembourg;;;LU
10439;Rodange Frontière;rodange-frontiere;49.551000;5.843539;LU
18841;Ettelbruck;ettelbruck;49.8474420000;6.1068300000;LU
18842;Clervaux;clervaux;50.0612410000;6.0248400000;LU
18843;Wasserbillig;wasserbillig;49.7128280000;6.4993530000;LU
18844;Bettembourg;bettembourg;49.5165850000;6.1014100000;LU
18845;Esch-sur-Alzette;esch-sur-alzette;49.4938690000;5.9856020000;LU
22616;Luxembourg Gare Centrale (Quai 13);luxembourg-gare-centrale-quai-13;49.599138;6.133244;LU
23004;Park and Ride Howald;park-and-ride-howald;;;LU
23135;Wilwerwiltz;wilwerwiltz;49.988887;5.999166;LU
23136;Drauffelt;drauffelt;50.017778;6.006106;LU
23137;Bertrange-Strassen;bertrange-strassen;49.613002;6.060601;LU
23138;Mamer;mamer;49.625663;6.02014;LU
23139;Capellen;capellen;49.644996;5.990833;LU
23140;Kleinbettingen;kleinbettingen;49.646389;5.916385;LU
23141;Mamer-Lycée;mamer-lycee;49.618415;6.02968;LU
23242;Bascharage-Sanem;bascharage-sanem;49.55847168;5.924788;LU
23243;Berchem;berchem;49.54263687;6.13359594;LU
23244;Belval-Rédange;belval-redange;49.503177;5.923711;LU
23245;Belval-Université;belval-universite;49.499515;5.946486;LU
23246;Belvaux-Soleuvre;belvaux-soleuvre;49.5150795;5.92606783;LU
23247;Betzdorf;betzdorf;49.68893;6.348942;LU
23248;Cents-Hamm;cents-hamm;49.6145;6.16414;LU
23249;Colmar-Berg;colmar-berg;49.81499;6.10115;LU
23250;Cruchten;cruchten;49.796475;6.119977;LU
23251;Dippach-Reckange;dippach-reckange;49.572513;5.995165;LU
23252;Dommeldange;dommeldange;49.633838;6.13668;LU
23253;Dudelange-Burange;dudelange-burange;49.49284363;6.08643579;LU
23254;Dudelange-Centre;dudelange-centre;49.478911;6.082247;LU
23255;Dudelange-Usines;dudelange-usines;49.472575;6.07942;LU
23256;Goebelsmühle;goebelsmuhle;49.92104;6.053335;LU
23257;Heisdorf;heisdorf;49.675359;6.13938;LU
23258;Hollerich;hollerich;49.595526;6.121037;LU
23259;Kayl;kayl;49.486944;6.033889;LU
23260;Leudelange;leudelange;49.5871048;6.059268;LU
23261;Lintgen;lintgen;49.72083282;6.12305403;LU
23262;Lorentzweiler;lorentzweiler;49.698484;6.140095;LU
23263;Manternach;manternach;49.706422;6.423354;LU
23264;Mertert;mertert;49.703273;6.478947;LU
23265;Michelau;michelau;49.896685;6.09223;LU
23266;Munsbach;munsbach;49.630552;6.268565;LU
23267;Niederkorn;niederkorn;49.53671265;5.89399576;LU
23268;Noertzange;noertzange;49.50805664;6.05079985;LU
23269;Oberkorn;oberkorn;49.509078;5.893597;LU
23270;Oetrange;oetrange;49.602622;6.258149;LU
23271;Roodt;roodt;49.666581;6.303116;LU
23272;Rumelange;rumelange;49.46;6.0325;LU
23273;Sandweiler-Contern;sandweiler-contern;49.60076523;6.20581198;LU
23274;Schieren;schieren;49.829808;6.095247;LU
23275;Schifflange;schifflange;49.506407;6.009475;LU
23276;Schouweiler;schouweiler;49.573455;5.960226;LU
23277;Tétange;tetange;49.477429;6.034967;LU
23278;Walferdange;walferdange;49.66188049;6.13624382;LU
23279;Wecker;wecker;49.700013;6.386535;LU
35428;Limpertsberg;limpertsberg;49.6161086040758;6.12207492555694;LU
37865;Howald;howald;49.5773;6.1321;LU
61122;Luxembourg Airport;luxembourg-airport;49.635117;6.216465;LU
