id;name;uic;lat;lon;country
5894;Amsterdam-Centraal;amsterdam-centraal;52.37919;4.899426;NL
8607;Alkmaar;alkmaar;52.6379540000;4.7384740000;NL
8608;Almelo;almelo;52.3567350000;6.6556760000;NL
8609;Amsterdam Sloterdijk;amsterdam-sloterdijk;52.3890250000;4.8381110000;NL
8610;Apeldoorn;apeldoorn;52.2094200000;5.9674800000;NL
8611;Amsterdam de vlugtlaan;amsterdam-de-vlugtlaan;;;NL
8615;Delft;delft;52.0114240000;4.3530890000;NL
8616;Deventer;deventer;52.2576110000;6.1601090000;NL
8617;Ede wageningen;ede-wageningen;;;NL
8619;Gouda;gouda;52.0176260000;4.7029040000;NL
8620;Groningen;groningen;53.2125800000;6.5641210000;NL
8621;Den Helder;den-helder;52.9545720000;4.7604800000;NL
8623;Hengelo;hengelo;;;NL
8624;Hilversum;hilversum;52.2263470000;5.1801950000;NL
8626;Hoofddorp;hoofddorp;52.2950060000;4.7023740000;NL
8627;Leiden Centraal;leiden-centraal;52.1750720000;4.4929970000;NL
8630;Bad Nieuweschans;bad-nieuweschans;53.184656;7.200222;NL
8631;Nijmegen;nijmegen;51.8418240000;5.8517070000;NL
8632;Oldenzaal;oldenzaal;52.306279;6.933137;NL
8635;Sittard;sittard;51.001603;5.858512;NL
8636;Tilburg;tilburg;51.5609380000;5.0811160000;NL
8637;Venlo;venlo;51.364407;6.17184;NL
8640;Weesp;weesp;52.3128500000;5.0385250000;NL
8641;Winschoten;winschoten;53.139237;7.034886;NL
8643;Amsterdam Amstel;amsterdam-amstel;52.346389;4.917778;NL
8644;Den Haag HS;den-haag-hs;52.069584;4.322669;NL
8645;Zwolle;zwolle;52.5063790000;6.0898410000;NL
8646;Zutphen;zutphen;;;NL
8647;Oss;oss;;;NL
8648;Leeuwarden;leeuwarden;53.19622;5.791686;NL
8649;Heerlen;heerlen;;;NL
8650;Heerenveen;heerenveen;;;NL
8651;Enschede;enschede;52.2225620000;6.8902220000;NL
8652;Bergen op zoom;bergen-op-zoom;;;NL
8653;Assen;assen;52.9915990000;6.5678150000;NL
8656;Any dutch station;any-dutch-station;;;NL
8657;Amsterdam;amsterdam;52.37863816394399;4.900825023651123;NL
8658;Amersfoort;amersfoort;52.1536600000;5.3711980000;NL
8659;Arnhem;arnhem;51.9849420000;5.8995480000;NL
8661;Breda;breda;51.5944590000;4.7764000000;NL
8662;Dordrecht;dordrecht;51.8077820000;4.6668210000;NL
8663;Den Haag;den-haag;52.0810;4.3087;NL
8664;Den Haag Centraal;den-haag-centraal;52.0805060000;4.3239910000;NL
8665;Eijsden maastricht grens;eijsden-maastricht-grens;;;NL
8666;Eindhoven;eindhoven;51.4430630000;5.4799500000;NL
8667;Haarlem;haarlem;52.3871100000;4.6364650000;NL
8668;Maastricht;maastricht;50.849811;5.705875;NL
