id;name;uic;lat;lon;country
28299;Ski;ski;59.719162;10.83486;NO
28300;As;as;59.663042;10.794993;NO
28301;Vestby;vestby;59.603857;10.748635;NO
28302;Moss;moss;59.431848;10.657026;NO
28303;Rygge;rygge;59.37812;10.74806;NO
28304;Rade;rade;59.347763;10.865477;NO
28305;Fredrikstad;fredrikstad;59.209078;10.950704;NO
28306;Sarpsborg;sarpsborg;59.286178;11.118622;NO
28307;Halden;halden;59.120804;11.383768;NO
28308;Askim;askim;59.581689;11.165024;NO
28309;Mysen;mysen;59.554533;11.324214;NO
28310;Arnes;arnes;60.123658;11.464572;NO
28311;Skarnes;skarnes;60.253867;11.680709;NO
28312;Kongsvinger;kongsvinger;60.187814;12.003547;NO
28313;Grefsen;grefsen;59.941123;10.780358;NO
28314;Hakadal;hakadal;60.117429;10.829439;NO
28315;Stryken;stryken;60.165719;10.720346;NO
28316;Harestua;harestua;60.192408;10.723807;NO
28317;Grua;grua;60.259368;10.665;NO
28318;Roa;roa;60.283468;10.621438;NO
28319;Lunner;lunner;60.304638;10.584807;NO
28320;Gran;gran;60.359337;10.56975;NO
28321;Jaren;jaren;60.393038;10.556302;NO
28322;Bleiken;bleiken;60.468358;10.500542;NO
28323;Eina;eina;60.630128;10.597419;NO
28324;Raufoss;raufoss;60.72189;10.613294;NO
28325;Gjøvik;gjovik;60.796761;10.695527;NO
28326;Lillestrøm;lillestrom;59.953411;11.045243;NO
28327;Jessheim;jessheim;60.141987;11.176989;NO
28328;Eidsvoll;eidsvoll;60.33085;11.248328;NO
28329;Tangen;tangen;60.615692;11.270135;NO
28330;Stange;stange;60.717773;11.195237;NO
28331;Hamar;hamar;60.791404;11.076912;NO
28332;Brumunddal;brumunddal;60.880208;10.938092;NO
28333;Moelv;moelv;60.93017;10.698053;NO
28334;Lillehammer;lillehammer;61.115087;10.461088;NO
28335;Ringebu;ringebu;61.529193;10.139238;NO
28336;Vinstra;vinstra;61.595246;9.747381;NO
28337;Kvam;kvam;61.664706;9.700987;NO
28338;Otta;otta;61.772406;9.537213;NO
28339;Dovre;dovre;61.984182;9.256992;NO
28340;Dombas;dombas;62.068789;9.125561;NO
28341;Lesja;lesja;62.119138;8.852837;NO
28342;Bjorli;bjorli;62.258246;8.201236;NO
28343;Åndalsnes;andalsnes;62.567205;7.691089;NO
28344;Hjerkinn;hjerkinn;62.215259;9.564486;NO
28345;Kongsvoll;kongsvoll;62.374467;9.623491;NO
28346;Oppdal;oppdal;62.613158;9.712161;NO
28347;Berkåk;berkak;62.841583;10.05767;NO
28348;Storen;storen;63.05175;10.285304;NO
28349;Heimdal;heimdal;63.351019;10.357622;NO
28350;Leangen;leangen;63.436956;10.464064;NO
28351;Hommelvik;hommelvik;63.411786;10.794013;NO
28352;Hell;hell;63.446332;10.899267;NO
28353;Hegra;hegra;63.444363;10.984791;NO
28354;Gudå;guda;63.456786;11.425289;NO
28355;Meraker;meraker;63.444948;11.643718;NO
28356;Kopperå;koppera;63.434026;11.776489;NO
28357;Stjordal;stjordal;63.470288;10.913587;NO
28358;Skatval;skatval;63.50878;10.821178;NO
28359;Asen;asen;63.609387;11.052641;NO
28360;Ronglan;ronglan;63.667152;11.113759;NO
28361;Skogn;skogn;63.705725;11.194482;NO
28362;Levanger;levanger;63.74472;11.300708;NO
28363;Verdal;verdal;63.790879;11.484573;NO
28364;Rora;rora;63.85695;11.401585;NO
28365;Sparbu;sparbu;63.919218;11.428354;NO
28366;Steinkjer;steinkjer;64.011987;11.494866;NO
28367;Jorstad;jorstad;64.184032;12.209041;NO
28368;Snasa;snasa;64.243999;12.397347;NO
28369;Grong;grong;64.445096;12.379153;NO
28370;Harran;harran;64.595045;12.435362;NO
28371;Lassemoen;lassemoen;64.682394;12.660973;NO
28372;Namsskogan;namsskogan;64.924428;13.151407;NO
28373;Majavatn;majavatn;65.143738;13.401199;NO
28374;Svenningdal;svenningdal;65.434039;13.394497;NO
28375;Trofors;trofors;65.535083;13.399842;NO
28376;Mosjøen;mosjoen;65.844654;13.199922;NO
28377;Bjerka;bjerka;66.149226;13.831719;NO
28378;Mo i Rana;mo-i-rana;66.308992;14.132265;NO
28379;Dunderland;dunderland;66.44587;14.837253;NO
28380;Lønsdal;lonsdal;66.74282;15.463316;NO
