id;name;uic;lat;lon;country
8674;Pinhel;pinhel;;;PT
8675;Vila Franca das Naves;vila-franca-das-naves;40.724541;-7.258357;PT
8676;Mangualde;mangualde;40.58662;-7.760225;PT
8677;Santa Comba Dão;santa-comba-dao;40.3974501;-8.1297273;PT
8678;Luso Buçaco;luso-bucaco;40.390196;-8.385011;PT
8679;Pombal;pombal;39.91642;-8.630174;PT
8680;Santarém;santarem;39.298988;-8.650815;PT
8681;Pampilhosa;pampilhosa;40.338302;-8.431162;PT
8682;Nelas;nelas;40.53023;-7.849785;PT
8683;Ovar;ovar;;;PT
8684;Cerdeira;cerdeira;;;PT
8685;Viana do Castelo;viana-do-castelo;41.695268;-8.831371;PT
8686;Abrantes;abrantes;39.440351;-8.194683;PT
8687;Torre;torre;;;PT
8688;Marvão Beira;marvao-beira;39.449421;-7.368359;PT
8689;Figueira da Foz;figueira-da-foz;40.14834;-8.848336;PT
8690;Caldas da Rainha;caldas-da-rainha;39.4048977;-9.135404;PT
8691;Gaia;gaia;;;PT
8692;Gouveia;gouveia;;;PT
8693;Fátima;fatima;39.653566;-8.493556;PT
8694;Marvão Beira;marvao-beira;;;PT
8695;Vila Nova de Gaia;vila-nova-de-gaia;41.129667;-8.620188;PT
8696;Lisboa Santa Apolónia;lisboa-santa-apolonia;38.71387;-9.122271;PT
8697;Porto Campanhã;porto-campanha;41.148823;-8.584932;PT
8698;Barcelos;barcelos;41.537085;-8.609229;PT
8699;Fundão;fundao;40.137963;-7.5010773;PT
8700;Lagos;lagos;37.108265;-8.671143;PT
8701;Lisboa Terreiro do Paço;lisboa-terreiro-do-paco;;;PT
8702;Portimão;portimao;37.13856;-8.53775;PT
8703;Vila Real de San António Guad;vila-real-de-san-antonio-guad;37.19979;-7.421566;PT
8704;Beja;beja;38.009623;-7.858997;PT
8705;Valença;valenca;42.024705;-8.639280;PT
8706;Valença;valenca;;;PT
8707;Celorico da Beira;celorico-da-beira;40.6335005;-7.3927217;PT
8708;Leiria;leiria;39.756582;-8.827845;PT
8709;Aveiro;aveiro;40.643468;-8.640507;PT
