id;name;uic;lat;lon;country
28610;Arad;arad;46.18956;21.32555;RO
28611;Sibiu;sibiu;45.802997;24.160316;RO
28612;Sighișoara;sighisoara;46.226398;24.795737;RO
28613;Mediaș;medias;46.160165;24.34944;RO
28614;Oradea;oradea;47.070665;21.935917;RO
28615;Alba Iulia;alba-iulia;46.056628;23.586274;RO
28616;Brașov;brasov;45.661516;25.61371;RO
28617;București Nord;bucuresti-nord;44.446767;26.074407;RO
28618;Cluj Napoca;cluj-napoca;46.786219;23.594149;RO
28619;Constanta;constanta;44.169486;28.63147;RO
28620;Craiova;craiova;44.329081;23.817108;RO
28621;Coșlariu;coslariu;46.135751;23.65746;RO
28622;Curtici;curtici;46.34101;21.297701;RO
28623;Deva;deva;45.884538;22.910195;RO
28624;Timișoara Nord;timisoara-nord;45.75121;21.20656;RO
29481;Adjud;adjud;46.0961957;27.1821895;RO
29482;Aiud;aiud;46.3086633;23.724558;RO
29483;Alexandria (Autogară);alexandria-autogara;43.962514;25.329841;RO
29484;Aleșd;alesd;47.0590191;22.3980649;RO
29485;Bacău;bacau;46.5670437;26.9145748;RO
29486;Baia Mare;baia-mare;47.6567387;23.5849881;RO
29487;Balș;bals;44.3533537;24.0956725;RO
29488;Beclean;beclean;47.1800681;24.1704031;RO
29489;Bistrița;bistrita;47.1392617;24.4890979;RO
29490;Botoșani;botosani;47.7406537;26.6658127;RO
29491;Brăila;braila;45.2652463;27.9594714;RO
29492;Bucharest;bucharest;44.4267674;26.1025384;RO
29493;Bumbești-Jiu;bumbesti-jiu;45.1776245;23.3856157;RO
29494;Buzău;buzau;45.1371109;26.8171122;RO
29495;Bârlad;barlad;46.2276613;27.6692265;RO
29496;Băile Herculane;baile-herculane;44.8681802;22.4085127;RO
29497;Caracal;caracal;44.1157446;24.3424754;RO
29498;Caransebeș;caransebes;45.413619;22.2218641;RO
29499;Carei;carei;47.6814513;22.462143;RO
29500;Cernavodă;cernavoda;44.3276037;28.0306028;RO
29501;Câmpia Turzii;campia-turzii;46.5586485;23.8706676;RO
29502;Călărași;calarasi;44.2085144;27.3137439;RO
29503;Dej;dej;47.1415878;23.8787342;RO
29504;Drobeta-Turnu Severin;drobeta-turnu-severin;44.6369227;22.6597342;RO
29505;Fetești;fetesti;44.3687237;27.8285646;RO
29506;Filiași;filiasi;44.554523;23.5200088;RO
29507;Focșani;focsani;45.6964745;27.184043;RO
29508;Făgăraș;fagaras;45.8416403;24.9730954;RO
29509;Fălticeni;falticeni;47.4615626;26.3015288;RO
29510;Galați;galati-autogara;45.4353208;28.0079945;RO
29511;Gherla;gherla;47.0317645;23.909253;RO
29512;Giurgiu;giurgiu;43.9037076;25.9699265;RO
29513;Găești;gaesti;44.719706;25.3162139;RO
29514;Huedin;huedin;46.8623427;23.0218215;RO
29515;Hunedoara;hunedoara;45.7678128;22.9072331;RO
29516;Iași;iasi;47.1584549;27.6014418;RO
29517;Iernut;iernut;46.4507604;24.2290151;RO
29518;Lipova;lipova;46.0887169;21.6950506;RO
29519;Luduș;ludus;46.476045;24.0933922;RO
29520;Lugoj;lugoj;45.6909898;21.9034608;RO
29521;Medgidia;medgidia;44.2416271;28.2777338;RO
29522;Miercurea Ciuc;miercurea-ciuc;46.3695574;25.7953655;RO
29523;Odorheiu Secuiesc;odorheiu-secuiesc;46.3049996;25.2926479;RO
29524;Onești;onesti;46.2647012;26.782587;RO
29525;Orăștie;orastie;45.8451246;23.2019265;RO
29526;Orșova;orsova;44.7284621;22.3943257;RO
29527;Petroșani;petrosani;45.4088946;23.3754021;RO
29528;Piatra Neamț;piatra-neamt;46.9299616;26.3779793;RO
29529;Pitești;pitesti;44.8564798;24.8691824;RO
29530;Ploiești;ploiesti;44.936664;26.0128616;RO
29531;Reghin;reghin;46.7710931;24.700762;RO
29532;Reșița;resita;45.3049703;21.8821033;RO
29533;Roman;roman;46.934875;26.920658;RO
29534;Rovinari;rovinari;44.9000027;23.1543463;RO
29535;Roșiorii de Vede;rosiorii-de-vede;44.1085569;24.9949784;RO
29536;Râmnicu Sărat;ramnicu-sarat;45.3864635;27.0462219;RO
29537;Râmnicu Vâlcea;ramnicu-valcea;45.0996753;24.3693179;RO
29538;Salonta;salonta;46.8052877;21.6489829;RO
29539;Satu Mare;satu-mare;47.8016702;22.8575926;RO
29540;Sebeș;sebes;45.9595588;23.5663758;RO
29541;Sfântu Gheorghe;sfantu-gheorghe;45.8609375;25.7885796;RO
29542;Sighetu Marmației;sighetu-marmatiei;47.927707;23.8976506;RO
29543;Sinaia;sinaia;45.3310429;25.5623504;RO
29544;Slatina (RO);slatina-ro;44.4301677;24.3716904;RO
29545;Slobozia;slobozia;44.5628889;27.3613656;RO
29546;Suceava;suceava;47.6634521;26.2732302;RO
29547;Tecuci;tecuci;45.8490923;27.4241268;RO
29548;Teiuș;teius;46.2024166;23.678038;RO
29549;Timișoara;timisoara;45.7488716;21.2086793;RO
29550;Tulcea;tulcea;45.1716165;28.7914439;RO
29551;Turda;turda;46.564676;23.7971063;RO
29552;Târgoviște;targoviste;44.9118218;25.4558274;RO
29553;Târgu Jiu;targu-jiu;45.0314279;23.2689393;RO
29554;Târgu Mureș;targu-mures;46.5385862;24.5514392;RO
29555;Târgu Neamț;targu-neamt;47.2097877;26.3757306;RO
29556;Târgu Secuiesc;targu-secuiesc;46.0006001;26.1345785;RO
29557;Tălmaciu;talmaciu;45.6696594;24.2626411;RO
29558;Vaslui;vaslui;46.6406915;27.7276468;RO
29559;Vatra Dornei;vatra-dornei;47.3447576;25.3521039;RO
29560;Zalău;zalau;47.1854562;23.0573324;RO
29561;Țăndărei;tandarei;44.6488718;27.6438672;RO
32532;Buhuşi;buhusi;46.724227;26.696173;RO
32533;Câmpina;campina;45.1369957;25.742141;RO
32534;Corabia;corabia;43.7776486;24.5129085;RO
32535;Făget;faget;45.8527957;22.1729057;RO
32536;Gura Humorului;gura-humorului;47.5522001;25.8842475;RO
32537;Hârlău;harlau;47.4284267;26.9091247;RO
32538;Hațeg;hateg;45.6068844;22.9493625;RO
32539;Huşi;husi;46.67361;28.05944;RO
32540;Mizil;mizil;44.9981642;26.441765;RO
32541;Oltenița;oltenita;44.0854664;26.6374829;RO
32542;Pascani;pascani;47.254761;26.722349;RO
32543;Strehaia;strehaia;44.6242425;23.1918416;RO
32544;Târgu Frumos;targu-frumos;47.2085397;27.0083561;RO
32545;Turnu Magurele;turnu-magurele;43.757912;24.86595;RO
32546;Zimnicea;zimnicea;43.656971;25.369699;RO
32619;Călan;calan;45.7403065;23.0017943;RO
34693;Nădlac;nadlac;46.16994858;20.76081276;RO
35172;Panciu;panciu;45.907685;27.088247;RO
35201;Bucharest Henri Coandă Airport;bucharest-henri-coanda-airport;44.570516;26.084533;RO
35263;Predeal;predeal;45.505511;25.574809;RO
35309;Sânnicolau Mare;sannicolau-mare;46.0813571;20.6200441999999;RO
35674;Cristuru Secuiesc;cristuru-secuiesc;46.2924526;25.0317145;RO
35733;Bicaz;bicaz;46.909583;26.0853919;RO
35736;Câmpulung Moldovenesc;campulung-moldovenesc;47.5257007;25.5707495;RO
35744;Gheorgheni;gheorgheni;46.7212112;25.5855275;RO
35762;Tarnaveni;tarnaveni;46.3293137;24.2935777;RO
35920;Baia Mare Airport;baia-mare-airport;47.6611057;23.4680187;RO
35941;Cluj Airport;cluj-airport;46.781396;23.68615;RO
35954;Sibiu Airport;sibiu-airport;45.7901671;24.0927893;RO
35966;Oradea Airport;oradea-airport;47.0256291;21.8965453000001;RO
38192;Calafat;calafat;43.9897523;22.934115;RO
38316;Jupiter;jupiter;43.855497;28.606382;RO
38317;Saturn;saturn;43.829259;28.58075;RO
