id;name;uic;lat;lon;country;evalid
1551;Nickelsdorf;nickelsdorf;47,942608;17,086704;AT;8100499
1832;Regelsbrunn;regelsbrunn;48,107;16,780207;AT;8101430
1499;Wiener Neustadt Hbf;wiener-neustadt-hbf;47,81162;16,233835;AT;8100516
1661;Neudorf;neudorf;48,008698;16,937668;AT;8100388
1278;Nenzing;nenzing;47,19111;9,709551;AT;8100068
1247;Riedenburg;riedenburg;47,493465;9,721236;AT;8100473
1201;Lahrndorf;lahrndorf;47,994892;14,374526;AT;8101118
687;Pruggern;pruggern;47,422997;13,873959;AT;8101386
642;Gramatneusiedl;gramatneusiedl;48,035824;16,489504;AT;8100369
626;Gloggnitz;gloggnitz;47,677685;15,947182;AT;8100026
600;Lauffen;lauffen;47,67427;13,616345;AT;8101120
1418;Mining;mining;48,27119;13,173646;AT;8100478
580;Göpfritz;gopfritz;48,729786;15,394353;AT;8100200
561;Dornach;dornach;48,191795;14,820229;AT;8100727
528;Flughafen Wien;flughafen-wien;48,12107;16,56238;AT;8100353
573;Obersdorf Haltestelle;obersdorf-haltestelle;48,362534;16,51671;AT;8101317
444;Fieberbrunn;fieberbrunn;47,491165;12,5289;AT;8100053
5078010;Paternion-Feistritz Haltestelle;paternion-feistritz-haltestelle;46,706944;13,674456;AT;8100086
398;Wien Floridsdorf;wien-floridsdorf;48,256874;16,400415;AT;8100236
397;St.Veit a.d.Triesting;st.veit-a.d.triesting;47,93346;16,149836;AT;8101623
373;Enzersdorf bei Staatz;enzersdorf-bei-staatz;48,673046;16,510777;AT;8100775
336;Eggenburg;eggenburg;48,63778;15,814873;AT;8100201
324;Etsdorf-Straß;etsdorf-strass;48,45309;15,730214;AT;8100746
1643;Ottnang-Wolfsegg;ottnang-wolfsegg;48,092125;13,664921;AT;8101327
215;Bruck-Fusch;bruck-fusch;47,28461;12,828393;AT;8100047
1248;Lenzing;lenzing;47,983047;13,613664;AT;8101141
214;Breitenschützing;breitenschutzing;48,07869;13,800841;AT;8100695
1149;Langen am Arlberg;langen-am-arlberg;47,13165;10,120993;AT;8100065
1066;Korneuburg;korneuburg;48,342945;16,328901;AT;8100293
1024;Kefermarkt;kefermarkt;48,436935;14,538052;AT;8100536
1008;Knittelfeld;knittelfeld;47,21526;14,837614;AT;8100072
997;Kalsdorf;kalsdorf;46,964413;15,470002;AT;8101019
1405;St.Pantaleon;st.pantaleon;48,22783;14,528696;AT;8101579
942;Imst-Pitztal;imst-pitztal;47,219013;10,76208;AT;8100062
883;Holzleithen;holzleithen;48,113556;13,606661;AT;8100276
854;Rainfeld-Klein Zell;rainfeld-klein-zell;48,05061;15,707244;AT;8101421
778;Hainburg a.d.Donau Ungartor;hainburg-a.d.donau-ungartor;48,148438;16,947992;AT;8100959
735;Platt;platt;48,674553;15,966485;AT;8101367
708;Grünbach Schule;grunbach-schule;47,801373;15,981448;AT;8101837
699;Kaindorf a.d.Sulm;kaindorf-a.d.sulm;46,80189;15,542506;AT;8101918
886;Hatlerdorf;hatlerdorf;47,397213;9,724824;AT;8100921
2580;Zurndorf;zurndorf;47,96813;17,023825;AT;8101829
2497;Wolkersdorf;wolkersdorf;48,37899;16,512386;AT;8101793
2357;Pöckau;pockau;46,552017;13,745024;AT;8101375
2329;Völs;vols;47,255672;11,321688;AT;8101728
2324;Hirschbach;hirschbach;48,749554;15,126299;AT;8100953
2297;Lustenau;lustenau;47,45014;9,667136;AT;8100123
2281;Puchenau;puchenau;48,311607;14,23802;AT;8101402
2257;Kreisbach;kreisbach;48,100468;15,607884;AT;8101077
2240;Gopperding;gopperding;48,44084;13,458267;AT;8100864
2203;Trieben;trieben;47,489513;14,488517;AT;8100128
2160;Schwaz;schwaz;47,349777;11,701548;AT;8100103
1993;Gießenbach;giessenbach;47,37521;11,23709;AT;8100549
1991;Seefeld in Tirol;seefeld-in-tirol;47,328777;11,189435;AT;8100113
1943;Salzburg Hbf;salzburg-hbf;47,81394;13,046286;AT;8100002
1939;Bad Sauerbrunn;bad-sauerbrunn;47,774036;16,324768;AT;8100481
1933;Schützen am Gebirge;schutzen-am-gebirge;47,84826;16,619604;AT;8100422
1880;Gerling OÖ;gerling-oo;48,397293;14,077079;AT;8100878
1780;Purgstall;purgstall;48,05942;15,131212;AT;8101391
1778;Donnerskirchen;donnerskirchen;47,888443;16,660421;AT;8100219
1770;Flughafen Graz Feldkirchen;flughafen-graz-feldkirchen;46,99827;15,449273;AT;8100601
1719;Pressbaum;pressbaum;48,181305;16,077705;AT;8101381
1625;Oberweiden;oberweiden;48,306267;16,833675;AT;8101329
1240764;Mauer-Öhling;mauer-ohling;48,09523;14,80162;AT;8101228
1936;Schwanenstadt;schwanenstadt;48,054264;13,768362;AT;8100016
1475;Munderfing;munderfing;48,07392;13,179436;AT;8100489
1444;Moosbierbaum-Heiligeneich;moosbierbaum-heiligeneich;48,30588;15,901127;AT;8100376
2466;Willendorf;willendorf;47,789215;16,06039;AT;8101769
1419;Hagenau im Innkreis;hagenau-im-innkreis;48,265106;13,114099;AT;8100914
1387;Atzenbrugg;atzenbrugg;48,29748;15,917481;AT;8100637
1385;Mandling;mandling;47,404144;13,568252;AT;8101202
1514;Neufelden;neufelden;48,48366;14,005094;AT;8100430
1604;Irschen;irschen;46,74039;13,014087;AT;8101005
666;Bad Goisern;bad-goisern;47,6397;13,613067;AT;8100160
1364;Mauerkirchen;mauerkirchen;48,19222;13,128846;AT;8100410
1202;Dürnbach;durnbach;47,97839;14,353816;AT;8100733
1119;Greifenstein-Altenberg;greifenstein-altenberg;48,344814;16,239733;AT;8100257
2260;Rietz;rietz;47,29209;11,024912;AT;8101457
1105;Tauplitz;tauplitz;47,551613;14,010385;AT;8100166
1098;Klagenfurt Hbf;klagenfurt-hbf;46,61577;14,313758;AT;8100085
862;Ober Radlberg;ober-radlberg;48,240627;15,670533;AT;8101319
2004;Petersbaumgarten;petersbaumgarten;47,633522;16,13243;AT;8101347
1090;Kirchstetten;kirchstetten;48,190292;15,82102;AT;8101048
1032;Kindberg;kindberg;47,50116;15,448359;AT;8100030
1059;Kaiserebersdorf;kaiserebersdorf;48,145317;16,464361;AT;8100374
805;Wien Hadersdorf;wien-hadersdorf;48,210434;16,221807;AT;8100922
654;Götzendorf;gotzendorf;48,025726;16,58587;AT;8100254
558;Johnsbach im Nationalpark;johnsbach-im-nationalpark;47,582405;14,59586;AT;8101014
445;Grieswirt;grieswirt;47,50907;12,4686575;AT;8100907
433;Friesach;friesach;46,95333;14,410845;AT;8100076
170;Bierbaum;bierbaum;47,097958;16,074295;AT;8100178
382;Petzenkirchen;petzenkirchen;48,143585;15,15713;AT;8101414
835;Himberg;himberg;48,08255;16,444809;AT;8100950
291;Dölsach;dolsach;46,81474;12,833565;AT;8100143
254;Kottingbrunn;kottingbrunn;47,950592;16,226906;AT;8101033
252;Brunn-Maria Enzersdorf;brunn-maria-enzersdorf;48,105247;16,288092;AT;8100698
148;Pfaffstätten;pfaffstatten;48,01763;16,258286;AT;8101352
1544;Rabensburg;rabensburg;48,652058;16,894615;AT;8101416
2365;Bad Schallerbach-Wallern;bad-schallerbach-wallern;48,228706;13,922229;AT;8100021
1082;Krumpendorf;krumpendorf;46,62645;14,221875;AT;8100079
5517158;Heinfels;heinfels;46,745895;12,444437;AT;8105982
1816;Rosenburg;rosenburg;48,628483;15,643733;AT;8100411
1972;Sebersdorf;sebersdorf;47,188934;15,999007;AT;8100179
2550;Zellerndorf;zellerndorf;48,695457;15,968066;AT;8100363
1501642;Salzburg Liefering;salzburg-liefering;47,824173;13,000736;AT;8102063
390;Eberschwang;eberschwang;48,151817;13,536876;AT;8100740
1402929;Puch Urstein;puch-urstein;47,72444;13,088102;AT;8102054
