id;name;uic;lat;lon;country
6994;Salzburg;salzburg;47.7981346;13.0464806;AT
10461;Innsbruck;innsbruck;47.2854337;11.3087505;AT
10464;Innsbruck Hbf;innsbruck-hbf;47.2632770000;11.4010000000;AT
10485;Wörgl;worgl;47.4918000000;12.0605840000;AT
10486;Kufstein;kufstein;47.5830770000;12.1655510000;AT
10487;Jenbach;jenbach;47.3884510000;11.7784570000;AT
10523;Villach Hbf;villach-hbf;46.6186240000;13.8485380000;AT
10524;Villach Westbahnhof;villach-westbahnhof;46.608095;13.840144;AT
17458;Salzburg Hbf;salzburg-hbf;47.813046443088425;13.045819401741028;AT
17491;Feldkirch;feldkirch;47.2414060000;9.6037600000;AT
17497;Graz Hbf;graz-hbf;47.0678420000;15.4156640000;AT
17498;Judenburg;judenburg;47.1737260000;14.6657480000;AT
17499;Klagenfurt Hbf;klagenfurt-hbf;46.6158020000;14.3123910000;AT
17500;Linz/Donau Hbf;linz-donau-hbf;48.291526;14.291122;AT
17501;Steyr;steyr;48.0394050000;14.4249450000;AT
17502;Wels Hbf;wels-hbf;48.1658740000;14.0265610000;AT
17540;Amstetten NÖ;amstetten-no;48.1219080000;14.8774440000;AT
17541;Bad Ischl;bad-ischl;47.7119550000;13.6270980000;AT
17542;Bad Gastein;bad-gastein;47.1197730000;13.1455640000;AT
17544;Bregenz;bregenz;47.5030010000;9.7396230000;AT
17545;Dornbirn;dornbirn;47.4176930000;9.7388050000;AT
17547;Gmunden;gmunden;47.9250350000;13.7825390000;AT
17548;Hopfgarten im Brixental;hopfgarten-im-brixental;47.4553490000;12.1491810000;AT
17549;Kitzbühel;kitzbuhel;47.4537760000;12.3913780000;AT
17555;Leoben Hbf;leoben-hbf;47.3866000000;15.0896070000;AT
17556;Liezen;liezen;47.5626620000;14.2417980000;AT
17557;Linz;linz;48.2902490000;14.2915180000;AT
17558;Lustenau;lustenau;47.4503330000;9.6671160000;AT
17559;Saalfelden;saalfelden;47.4268440000;12.8294220000;AT
17560;St. Pölten Hbf;st-polten-hbf;48.2076830000;15.6259120000;AT
17561;Wien Westbahnhof;wien-westbahnhof;48.1975970000;16.3370670000;AT
17582;St. Valentin;st-valentin;48.1791430000;14.5218480000;AT
17599;Melk;melk;48.2240890000;15.3313000000;AT
17600;Lambach;lambach;48.0940870000;13.8883420000;AT
17601;Attnang-Puchheim;attnang-puchheim;48.0127970000;13.7207210000;AT
17602;Steindorf bei Straßwalchen;steindorf-bei-strasswalchen;47.9667270000;13.2390250000;AT
17603;Grieskirchen-Gallspach;grieskirchen-gallspach;48.2310460000;13.8389110000;AT
17604;Neumarkt-Kallham;neumarkt-kallham;48.2715430000;13.7250440000;AT
17605;Schärding;scharding;48.4632380000;13.4427200000;AT
17606;Bruck/Mur;bruck-mur;47.4138280000;15.2794320000;AT
17607;Hallein;hallein;47.6851670000;13.0994310000;AT
17608;Golling-Abtenau;golling-abtenau;47.6005790000;13.1640820000;AT
17609;St. Johann im Pongau;st-johann-im-pongau;47.3481080000;13.1948430000;AT
17610;Schwarzach-St. Veit;schwarzach-st-veit;47.3185330000;13.1544630000;AT
17611;Taxenbach-Rauris;taxenbach-rauris;47.2927520000;12.9471630000;AT
