id;name;uic;lat;lon;country
10489;Minsk;minsk;53.868712;27.651025;BY
10490;Brest-Centralnyi;brest-centralnyi;52.100529;23.680661;BY
27861;Minsk-Passajirskii;minsk-passajirskii;53.890769;27.550652;BY
34051;Hrodna;hrodna;53.6666667;23.8333333;BY
34052;Lida;lida;53.88333;25.29972;BY
34726;Grodno;grodno;53.68648;23.84841;BY
35940;Ashmyany;ashmyany;54.4246;25.93681;BY
37741;Babruysk;babruysk;53.13964;29.19331;BY
37746;Gomel;gomel;52.43441;30.99324;BY
37755;Novaya Guta;novaya-guta;52.0929;30.96726;BY
37771;Polotsk;polotsk;55.490326;28.783113;BY
37841;Mogilev;mogilev;53.863841;30.35738;BY
37842;Orsha;orsha;54.509728;30.42346;BY
37843;Vitebsk;vitebsk;55.196358;30.18797;BY
38325;Baranovichi;baranovichi;53.13125;26.04307;BY
38576;Kobryn;kobryn;52.19354;24.33967;BY
38577;Slonim;slonim;53.09429;25.344;BY
38661;Vaŭkavysk;vaukavysk;53.155182;24.45017;BY
67737;Berezhany;berezhany;49.4453879634379;24.95167175463;BY
67746;Zеĺva;zielva;53.14306;24.81591;BY
