id;name;uic;lat;lon;country
811;Basel SBB;basel-sbb;;;CH
2848;Le Locle Col des Roches;le-locle-col-des-roches;;;CH
3190;Genève Eaux-Vives;geneve-eaux-vives;46.2007119952184;6.166044473648071;CH
3600;Vallorbe Frontière;vallorbe-frontiere;46.71355;6.347831;CH
4041;Le Trétien;le-tretien;46.102336;6.9977;CH
4042;Les Marécottes;les-marecottes;;;CH
4043;Salvan;salvan;;;CH
4044;Vernayaz;vernayaz;46.130069;7.045007;CH
4045;Martigny;martigny;;;CH
4089;Genève Voyageurs;geneve-voyageurs;46.209768;6.140756;CH
4090;Genève;geneve;;;CH
4091;Lausanne;lausanne;;;CH
4622;Le Châtelard – Giétroz;le-chatelard-gietroz;;;CH
4655;Le Locle;le-locle;;;CH
4656;Le Locle;le-locle;;;CH
4831;Finhaut Frontière;finhaut-frontiere;;;CH
5247;Basel St. Johann;basel-st-johann;47.570213;7.571982;CH
5335;Genève;geneve;46.208942;6.145262;CH
5336;Genève Cornavin;geneve-cornavin;46.210208;6.142428;CH
5337;Genève;geneve;;;CH
5877;Basel;basel;47.567;7.583;CH
5878;Basel SBB;basel-sbb;47.5470755094;7.5891699960;CH
6012;Vallorbe;vallorbe;;;CH
6013;Sarnen;sarnen;46.8945840000;8.2474860000;CH
6014;Maienfeld;maienfeld;47.003839;9.529203;CH
6015;Saas-Fee Post;saas-fee-post;;;CH
6018;Betten;betten;;;CH
6019;Campocologno;campocologno;46.233185;10.142097;CH
6020;Les Verrières;les-verrieres;46.905269;6.479337;CH
6021;Domat/Ems;domat-ems;46.833125;9.453137;CH
6024;Jenaz;jenaz;46.930703;9.718399;CH
6025;La-Chaux-de-Fonds;la-chaux-de-fonds;47.0992770000;6.8262640000;CH
6026;Klosters-Dorf;klosters-dorf;;;CH
6029;Aarau;aarau;47.3913730000;8.0512510000;CH
6030;Chêne-Bourg;chene-bourg;46.1966;6.1973;CH
6031;Oberalppasshoehe – Calmot;oberalppasshoehe-calmot;;;CH
6032;Oberwald;oberwald;46.530638;8.342088;CH
6036;Poschiavo;poschiavo;46.32465;10.054308;CH
6037;Le Prese;le-prese;46.290464;10.078157;CH
6038;Randa;randa;46.100081;7.781503;CH
6039;Reckingen;reckingen;46.469304;8.243413;CH
6040;Winterthur;winterthur;47.500331;8.723815;CH
6044;Schiers;schiers;46.967972;9.688366;CH
6046;Stalden-Saas;stalden-saas;46.231836;7.870289;CH
6050;Uzwil;uzwil;47.4364540000;9.1309810000;CH
6052;Tirano;tirano;;;CH
6053;Trun;trun;46.74254;8.990462;CH
6054;Versam-Safien;versam-safien;46.807389;9.310208;CH
6055;Wil SG;wil-sg;47.4624060000;9.0409810000;CH
6056;Wattwil;wattwil;47.299485;9.086485;CH
6057;Wettingen;wettingen;47.459484;8.315839;CH
6058;Courgenay;courgenay;47.405414;7.124787;CH
6059;Lenzburg;lenzburg;47.3911930000;8.1703760000;CH
6061;Chernex;chernex;46.445923;6.910079;CH
6062;Les Avants;les-avants;46.453807;6.943331;CH
6064;Montbovon;montbovon;46.486743;7.04285;CH
6070;Solothurn;solothurn;47.2041720000;7.5426860000;CH
6071;Crans Montana Gare;crans-montana-gare;46.312905;7.489221;CH
6072;Wildegg;wildegg;47.415284;8.162978;CH
6073;Bassecourt;bassecourt;47.336691;7.24686;CH
6074;Wallisellen;wallisellen;47.4127310000;8.5919070000;CH
6075;Grandgourt;grandgourt;47.470757;7.048136;CH
6076;Walenstadt;walenstadt;47.119854;9.312977;CH
6077;Winterthur Grüze;winterthur-gruze;47.499046;8.750899;CH
6078;Winterthur Seen;winterthur-seen;47.487342;8.767062;CH
6079;Biberbrugg;biberbrugg;47.156368;8.7227;CH
6080;Münsingen;munsingen-ch;46.873342;7.559415;CH
6082;Zofingen;zofingen;47.2880240000;7.9431110000;CH
6083;Schwyz;schwyz;47.026366;8.632143;CH
6085;Lichtensteig;lichtensteig;47.319702;9.083195;CH
6086;Yverdon-les-Bains;yverdon-les-bains;46.7818680000;6.6411400000;CH
6087;Weite;weite;47.091466;9.501625;CH
6090;Wädenswil;wadenswil;47.2300790000;8.6747790000;CH
6091;Islikon;islikon;47.547902;8.846005;CH
6093;Baar;baar;47.1956420000;8.5234270000;CH
6094;Zürich Oerlikon;zurich-oerlikon;47.4119040000;8.5444530000;CH
6095;Courtelary;courtelary;47.176782;7.069413;CH
6096;Vernayaz;vernayaz;;;CH
6097;Vernier;vernier;46.220591;6.093886;CH
