id;name;uic;lat;lon;country
972;Kehl Grenze;kehl-grenze;;;DE
6691;Bad Driburg (Westf);bad-driburg-westf;51.730322;9.030806;DE
6692;Beratzhausen;beratzhausen;49.092842;11.807852;DE
6693;Bienenbüttel;bienenbuttel;53.142123;10.484712;DE
6694;Bitburg;bitburg;;;DE
6695;Blankenheim (Wald);blankenheim-wald;50.441871;6.593506;DE
6696;Bodenheim;bodenheim;49.930088;8.311651;DE
6697;Neckarsulm;neckarsulm;49.188973;9.220064;DE
6698;Aachen;aachen;50.77607;6.08378;DE
6699;Aachen-Rothe Erde;aachen-rothe-erde;50.770202;6.116476;DE
6700;Aachen Hbf;aachen-hbf;50.767802;6.091495;DE
6701;Aachen Süd (Gr);aachen-sud-gr;50.731917;6.045407;DE
6702;Aachen West;aachen-west;50.78036;6.070712;DE
6703;Buxtehude;buxtehude;53.47049;9.688313;DE
6704;Ebelsbach-Eltmann;ebelsbach-eltmann;49.982675;10.669611;DE
6705;Efringen-Kirchen;efringen-kirchen;47.65562;7.563919;DE
6706;Aalen;aalen;48.841009;10.09627;DE
6707;Eitorf;eitorf;50.773618;7.447329;DE
6708;Empel-Rees;empel-rees;51.798164;6.417138;DE
6709;Feucht;feucht;49.381944;11.204208;DE
6710;Geltendorf;geltendorf;48.105773;11.037737;DE
6711;Grevenbroich;grevenbroich;51.093724;6.580148;DE
6712;Grub am Forst;grub-am-forst;50.227523;11.025853;DE
6713;Guntersblum;guntersblum;49.791978;8.351257;DE
6714;Dülmen;dulmen;51.827675;7.295762;DE
6715;Haiger;haiger;50.741356;8.220653;DE
6716;Hamburg-Neugraben;hamburg-neugraben;53.47414;9.852051;DE
6717;Hennef (Sieg);hennef-sieg;50.773268;7.28546;DE
6718;Herrenberg;herrenberg;48.593995;8.862662;DE
6719;Hochstadt-Marktzeuln;hochstadt-marktzeuln;50.153138;11.172593;DE
6720;Hoexter;hoexter;;;DE
6721;Leese-Stolzenau;leese-stolzenau;52.509471;9.110126;DE
6722;Kaltenbrunn oberbay;kaltenbrunn-oberbay;;;DE
6723;Landau (Isar);landau-isar;48.682889;12.69506;DE
6725;Mechernich;mechernich;50.591416;6.642506;DE
6726;Aschaffenburg Hbf;aschaffenburg-hbf;49.980554;9.143692;DE
6727;Allensbach;allensbach;47.714886;9.068228;DE
6728;Morsum Bahnhof;morsum-bahnhof;54.872007;8.431917;DE
6729;Munster (Örtze);munster-ortze;52.993423;10.096072;DE
6730;Nackenheim;nackenheim;49.919104;8.341881;DE
6731;Neustadt (Kr Marburg);neustadt-kr-marburg;50.850449;9.120644;DE
6732;Nördlingen;nordlingen;48.850843;10.497863;DE
6733;Ottbergen;ottbergen;51.711103;9.305992;DE
6734;Otting-Weilheim;otting-weilheim;48.880867;10.818931;DE
6735;Pleinfeld;pleinfeld;49.106281;10.977366;DE
6736;Porz (Rhein);porz-rhein;50.882909;7.064721;DE
6737;Oker;oker;51.904875;10.47815;DE
6738;Schwetzingen;schwetzingen;49.383436;8.578675;DE
6739;Siedlinghausen;siedlinghausen;51.257759;8.473834;DE
6740;Silbach;silbach;51.223672;8.481124;DE
6741;Speicher;speicher-de;49.92918;6.615907;DE
6742;Sünching;sunching;48.884158;12.356769;DE
6743;Stade;stade;53.596141;9.477201;DE
6744;Stadtoldendorf;stadtoldendorf;51.880154;9.622035;DE
6745;Straßkirchen;strasskirchen;48.833611;12.720743;DE
6746;Senden;senden;48.324013;10.050506;DE
6747;Stuttgart-Vaihingen;stuttgart-vaihingen;48.72628;9.113228;DE
6748;Utting;utting;48.022739;11.093965;DE
6749;Waghäusel;waghausel;49.248185;8.508317;DE
6750;Waigolshausen;waigolshausen;49.967187;10.115453;DE
6751;Weilerswist;weilerswist;50.750291;6.845078;DE
6752;Wickede (Ruhr);wickede-ruhr;51.493205;7.869714;DE
6753;Andernach;andernach;50.434914;7.404405;DE
6754;Wiesloch-Walldorf;wiesloch-walldorf;49.291351;8.664145;DE
6755;Winnenden;winnenden;48.879582;9.392289;DE
6756;Wattenscheid;wattenscheid;51.473267;7.139925;DE
6757;Winterberg (Westf);winterberg-westf;51.198583;8.532408;DE
6758;Zeil;zeil;50.005139;10.598515;DE
6759;Werl;werl;51.558197;7.913554;DE
6760;Winningen (Mosel);winningen-mosel;50.31542;7.523207;DE
6761;Aitrang;aitrang;;;DE
6762;Alfeld (Leine);alfeld-leine;51.981148;9.818063;DE
6763;Altena (Westf);altena-westf;51.301663;7.669389;DE
6764;Altenstadt (Iller);altenstadt-iller;48.161191;10.109979;DE
6765;Altstädten (Allgäu);altstadten-allgau;47.488546;10.280908;DE
6766;Annweiler am Trifels;annweiler-am-trifels;49.205387;7.96615;DE
6767;Alsenz;alsenz;49.72722;7.817199;DE
6768;Aha;aha;47.83322;8.134347;DE
6769;Arnsberg (Westf);arnsberg-westf;51.405416;8.066937;DE
6770;Arzberg (Oberfr);arzberg-oberfr;50.054634;12.197687;DE
6771;Au (Sieg);au-sieg;50.773762;7.656535;DE
6772;Augustfehn;augustfehn;53.220797;7.75929;DE
6773;Aulendorf;aulendorf;47.953055;9.64405;DE
6774;Altenbeken;altenbeken;51.766207;8.943206;DE
6775;Amberg;amberg;49.447619;11.862902;DE
6776;Ansbach;ansbach;49.29803;10.578236;DE
6777;Altglashütten-Falkau;altglashutten-falkau;47.859387;8.114113;DE
6778;Achim;achim;53.015986;9.030446;DE
6779;Ascheberg (Holst);ascheberg-holst;54.148277;10.339446;DE
6780;Alpirsbach;alpirsbach;48.343807;8.398253;DE
6781;Assmannshausen;assmannshausen;49.985327;7.867359;DE
6782;Lennestadt-Altenhundem;lennestadt-altenhundem;51.104134;8.071513;DE
6783;Altenau (Bay);altenau-bay;47.648365;11.017377;DE
6784;Altenwalde;altenwalde;;;DE
6785;Bredstedt;bredstedt;54.620947;8.970416;DE
6787;Bacharach;bacharach;50.056387;7.769682;DE
6788;Bad Ems;bad-ems;50.327654;7.728637;DE
6789;Bad Gandersheim;bad-gandersheim;51.867201;10.019925;DE
6790;Bad Schussenried;bad-schussenried;47.994037;9.6685;DE
6791;Bad Harzburg;bad-harzburg;51.888119;10.555448;DE
6792;Bad Hönningen;bad-honningen;50.513677;7.310872;DE
6793;Bad Kissingen;bad-kissingen;50.191549;10.079883;DE
6794;Bad Liebenzell;bad-liebenzell;48.772763;8.734278;DE
6795;Bad Mergentheim;bad-mergentheim;49.493644;9.771661;DE
6796;Bad Pyrmont;bad-pyrmont;51.974325;9.27257;DE
6797;Bad Reichenhall;bad-reichenhall;47.731165;12.88182;DE
6798;Bad Reichenhall-Kirchberg;bad-reichenhall-kirchberg;47.718535;12.874;DE
6799;Bad Salzig KD;bad-salzig-kd;50.207621;7.634403;DE
6800;Bad Salzuflen;bad-salzuflen;52.081567;8.740058;DE
6801;Bad Sooden-Allendorf;bad-sooden-allendorf;51.268241;9.968776;DE
6802;Bad Teinach-Neubulach;bad-teinach-neubulach;48.678466;8.72715;DE
6803;Bad Zwischenahn;bad-zwischenahn;53.182547;8.002916;DE
6804;Baiersbronn Bf;baiersbronn-bf;48.504103;8.371869;DE
6805;Bamberg;bamberg;49.900757;10.899492;DE
6806;Bayerisch Eisenstein;bayerisch-eisenstein;49.121859;13.209819;DE
6807;Bayerisch Gmain;bayerisch-gmain;47.720378;12.89507;DE
6808;Blaufelden;blaufelden;49.296232;9.967679;DE
6809;Bad Bentheim;bad-bentheim;52.309848;7.158541;DE
6810;Berchtesgaden Hbf;berchtesgaden-hbf;47.626683;12.999058;DE
6811;Burg (Dithm);burg-dithm;54.007802;9.247679;DE
6812;Bestwig;bestwig;51.361908;8.397839;DE
6813;Bad Steben;bad-steben;50.365094;11.646765;DE
6814;Biberach (Baden);biberach-baden;48.338386;8.03276;DE
6815;Biberach (Riß);biberach-riss;48.101844;9.793127;DE
6816;Bad Wildungen;bad-wildungen;51.119622;9.136087;DE
6817;Bingerbrueck;bingerbrueck;;;DE
6818;Birkenfeld (Enz);birkenfeld-enz;48.874108;8.645258;DE
6819;Bischofswiesen;bischofswiesen;47.651889;12.960143;DE
6820;Blaichach (Allgäu);blaichach-allgau;47.54374;10.258795;DE
6821;Böblingen;boblingen;48.687761;9.004126;DE
6822;Böhringen-Rickelshausen;bohringen-rickelshausen;47.74873;8.926648;DE
6823;Börßum;borssum;52.06046;10.568932;DE
6824;Bindlach;bindlach;49.980536;11.603446;DE
6825;Brannenburg;brannenburg;47.74135;12.106465;DE
6826;Bremen-Burg;bremen-burg;53.159733;8.704803;DE
6827;Brilon Wald;brilon-wald;51.349162;8.576068;DE
6828;Büchen;buchen;53.475371;10.622858;DE
6830;Bullay (DB);bullay-db;50.054463;7.134585;DE
6831;Burgkunstadt;burgkunstadt;50.137658;11.242718;DE
6832;Burgsinn;burgsinn;50.150261;9.655754;DE
6833;Betzdorf (Sieg);betzdorf-sieg;50.789295;7.870046;DE
6834;Bremerhaven-Lehe;bremerhaven-lehe;53.566342;8.600564;DE
6835;Bremerhaven-Columbusbahnhof;bremerhaven-columbusbahnhof;;;DE
6836;Bad Friedrichshall-Jagstfeld;bad-friedrichshall-jagstfeld;49.231573;9.199767;DE
6837;Leun/Braunfels;leun-braunfels;50.539917;8.366898;DE
6838;Bad Münder (Deister);bad-munder-deister;52.178192;9.468059;DE
6839;Braubach;braubach;50.274142;7.643186;DE
6840;Bodenwöhr Nord;bodenwohr-nord;49.278379;12.325945;DE
6841;Bodelsberg;bodelsberg;47.678111;10.41109;DE
6842;Fehmarn-Burg;fehmarn-burg;54.443069;11.189709;DE
6844;Bergen (Oberbay);bergen-oberbay;47.825273;12.592844;DE
6845;Coburg;coburg;50.263094;10.957374;DE
6846;Calw;calw;48.714729;8.742027;DE
6847;Castrop-Rauxel Hbf;castrop-rauxel-hbf;51.573694;7.304562;DE
6848;Calmbach Bahnhof;calmbach-bahnhof;48.776485;8.571133;DE
6849;Cham (Oberpf);cham-oberpf;49.221864;12.656829;DE
6850;Augsburg Hbf;augsburg-hbf;48.365444;10.885568;DE
6851;Öhringen-Cappel;ohringen-cappel;49.201917;9.526686;DE
6852;Deggendorf Hbf;deggendorf-hbf;48.839436;12.949725;DE
6853;Derneburg (Han);derneburg-han;52.096848;10.143715;DE
6854;Detmold;detmold;51.940814;8.872568;DE
6855;Diez;diez;50.370128;8.019618;DE
6856;Diepholz;diepholz;52.605008;8.380508;DE
6857;Dießen;diessen;47.950817;11.107538;DE
6858;Dillenburg;dillenburg;50.734884;8.294086;DE
6859;Dillingen (Saar);dillingen-saar;49.352711;6.722151;DE
6860;Dinslaken;dinslaken;51.567527;6.738242;DE
6861;Donauwörth;donauworth;48.714028;10.771441;DE
6862;Dorum (Weserm);dorum-weserm;53.688604;8.575843;DE
6863;Düsseldorf-Bilk;dusseldorf-bilk;51.207995;6.775574;DE
6864;Diebach;diebach;50.128678;9.837659;DE
6865;Dollbergen;dollbergen;52.417323;10.181748;DE
6866;Durach;durach;47.696449;10.343797;DE
6867;Dietmannsried;dietmannsried;47.812868;10.290482;DE
6868;Bad Rappenau;bad-rappenau;49.237721;9.101308;DE
6869;Bad Wimpfen;bad-wimpfen;49.229748;9.167226;DE
6870;Dornstetten;dornstetten;48.47211;8.494959;DE
6871;Eckernförde;eckernforde;54.4676;9.835115;DE
6872;Eichstätt Bahnhof;eichstatt-bahnhof;48.869883;11.163649;DE
6873;Eimelrod;eimelrod;;;DE
6874;Elfershausen-Trimberg;elfershausen-trimberg;50.140481;9.969109;DE
6875;Bad Bevensen;bad-bevensen;53.078246;10.574137;DE
6876;Elmshorn;elmshorn;53.755223;9.659062;DE
6877;Emmerich;emmerich;51.834219;6.256042;DE
6878;Bebra;bebra;50.969178;9.79772;DE
6879;Emden Außenhafen;emden-aussenhafen;53.34447;7.186174;DE
6880;Bad Endorf;bad-endorf;47.905061;12.301558;DE
6881;Bitburg-Erdorf;bitburg-erdorf;49.998685;6.570961;DE
6882;Erkrath;erkrath;51.220454;6.902412;DE
6883;Erlangen;erlangen;49.595896;11.001906;DE
6884;Erzingen (Baden);erzingen-baden;47.659539;8.430119;DE
6885;Eschweiler Hbf;eschweiler-hbf;50.81353;6.251934;DE
6886;Esens (Ostfriesl);esens-ostfriesl;53.636215;7.616209;DE
6887;Essen-Altenessen;essen-altenessen;51.484305;7.007199;DE
6888;Euerdorf;euerdorf;50.149245;10.027305;DE
6889;Euskirchen;euskirchen;50.657756;6.792195;DE
6890;Eutin;eutin;54.135152;10.61039;DE
6891;Eutingen im Gäu;eutingen-im-gau;48.479949;8.782236;DE
6892;Eystrup;eystrup;52.783202;9.231445;DE
6893;Emsdetten;emsdetten;52.176753;7.531531;DE
6894;Eschwege;eschwege;51.191751;10.042586;DE
6895;Enkenbach;enkenbach;49.489932;7.899504;DE
6896;Ebersdorf (b Coburg);ebersdorf-b-coburg;50.224269;11.064642;DE
6897;Ennepetal;ennepetal;51.30489;7.343288;DE
6898;Emmerthal;emmerthal;52.04641;9.382859;DE
6899;Edelfingen;edelfingen;49.513025;9.743111;DE
6900;Flörsheim (Main);florsheim-main;50.017212;8.431009;DE
6901;Finnentrop;finnentrop;51.172631;7.964703;DE
6902;Fischen;fischen;47.45659;10.271712;DE
6903;Flensburg;flensburg;54.774088;9.436884;DE
6904;Freising;freising;48.395198;11.744541;DE
6906;Frankenthal Hbf;frankenthal-hbf;49.53557;8.349702;DE
6907;Fröndenberg;frondenberg;51.47119;7.763039;DE
6908;Sigmaringen;sigmaringen;48.086985;9.221853;DE
6909;Friedrichssegen;friedrichssegen;50.311869;7.650665;DE
6910;Freudenstadt Hbf;freudenstadt-hbf;48.460325;8.428807;DE
6911;Freudenstadt Stadt;freudenstadt-stadt;48.467777;8.410649;DE
6912;Friedberg (Hess);friedberg-hess;50.332607;8.762055;DE
6913;Feldberg-Bärental;feldberg-barental;47.871442;8.098292;DE
6914;Forchheim (Oberfr);forchheim-oberfr;49.717071;11.069856;DE
6915;Freienohl;freienohl;51.366421;8.169486;DE
6916;Furth im Wald;furth-im-wald;49.309815;12.838807;DE
6917;Freiburg-Littenweiler;freiburg-littenweiler;47.981667;7.895135;DE
6918;Frankfurt (Main) West;frankfurt-main-west;50.118862;8.639334;DE
6919;Gaggenau Bf;gaggenau-bf;48.805772;8.319975;DE
6920;Geldern;geldern;51.513287;6.319335;DE
6921;Hannover Hbf;hannover-hbf;52.376763;9.741016;DE
6922;Gerolstein;gerolstein;50.224009;6.660368;DE
6923;Gernsbach Bf;gernsbach-bf;48.768305;8.336712;DE
6924;Geseke;geseke;51.64523;8.510294;DE
6925;Giengen (Brenz);giengen-brenz;48.619947;10.237275;DE
6926;Glückstadt;gluckstadt;53.788753;9.428021;DE
6927;Grafing Bahnhof;grafing-bahnhof;48.043459;11.940299;DE
6928;Gotteszell;gotteszell;48.95813;12.983434;DE
6929;Gräfendorf;grafendorf;50.118278;9.73716;DE
6931;Goslar;goslar;51.911059;10.423091;DE
6932;Gunzenhausen;gunzenhausen;49.120448;10.755467;DE
6933;Germersheim;germersheim;49.225343;8.365541;DE
6934;Gaildorf West;gaildorf-west;49.003822;9.753889;DE
6935;Großenbrode;grossenbrode;54.366463;11.081227;DE
6936;Grafenau;grafenau;48.856165;13.393325;DE
6937;Greven;greven;52.08999;7.599381;DE
6938;Goldshöfe;goldshofe;48.894351;10.128667;DE
6939;Bad Grönenbach;bad-gronenbach;47.882472;10.253716;DE
6940;Griesen (Oberbay);griesen-oberbay;47.478218;10.946119;DE
6941;Goch;goch;51.681825;6.160864;DE
6942;Bordesholm;bordesholm;54.174372;10.04371;DE
6943;Frankfurt (M) Flughafen;frankfurt-m-flughafen;50.051209;8.570971;DE
6944;Hannover wuelf messe;hannover-wuelf-messe;;;DE
6945;Haffkrug;haffkrug;54.054079;10.742675;DE
6946;Hallthurm;hallthurm;;;DE
6947;Haltern am See;haltern-am-see;51.737666;7.184367;DE
6948;Hameln;hameln;52.101846;9.375901;DE
6949;Hammelburg;hammelburg;50.120066;9.882983;DE
6950;Hammerau;hammerau;47.795878;12.946129;DE
6951;Hannover-Kleefeld;hannover-kleefeld;52.373608;9.79061;DE
6952;Haßfurt;hassfurt;50.033464;10.510295;DE
6953;Hannover lind hafen;hannover-lind-hafen;;;DE
6954;Hegne;hegne;47.706112;9.09916;DE
6955;Heide (Holst);heide-holst;54.194364;9.101272;DE
6956;Hann Münden;hann-munden;51.41258;9.658271;DE
6957;Hofgeismar;hofgeismar;51.499182;9.395462;DE
6958;Heimbach (Nahe);heimbach-nahe;49.617731;7.230895;DE
6959;Herborn (Dillkr);herborn-dillkr;50.6844;8.308136;DE
6960;Haste;haste;52.379334;9.388495;DE
6961;Herzogenrath;herzogenrath;50.870917;6.094488;DE
6962;Hildesheim Hbf;hildesheim-hbf;52.160627;9.953494;DE
6963;Hinterzarten;hinterzarten;47.906329;8.106256;DE
6964;Hirschau;hirschau;;;DE
6965;Höfen (Enz) Bf;hofen-enz-bf;48.798562;8.581039;DE
6966;Hörstel;horstel;52.295672;7.591758;DE
