id;name;uic;lat;lon;country
17496;Zagreb;zagreb;45.804453;15.978478;HR
22625;Zagreb Autobusni Kolodvor;zagreb-autobusni-kolodvor;45.803778;15.993229;HR
26836;Zadar Autobusni Kolodvor;zadar-autobusni-kolodvor;44.106298;15.241312;HR
26837;Biograd na Moru Autobusni Kolodvor;biograd-na-moru-autobusni-kolodvor;43.937696;15.444132;HR
26838;Vodice Autobusni Kolodvor;vodice-autobusni-kolodvor;43.759213;15.778478;HR
26839;Šibenik Autobusni Kolodvor;sibenik-autobusni-kolodvor;43.732217;15.893064;HR
26840;Trogir Autobusni Kolodvor;trogir-autobusni-kolodvor;43.518345;16.251995;HR
26841;Split Autobusni Kolodvor;split-autobusni-kolodvor;43.504056;16.442809;HR
26843;Varaždin Autobusni Kolodvor;varazdin-autobusni-kolodvor;46.3042;16.334398;HR
26844;Koprivnica;koprivnica;46.16487;16.817468;HR
26845;Djurdjevac Autobusni Kolodvor;djurdjevac-autobusni-kolodvor;46.03072;17.065283;HR
26846;Virovitica Autobusni Kolodvor;virovitica-autobusni-kolodvor;45.835641;17.387764;HR
26847;Slatina Autobusni Kolodvor;slatina-autobusni-kolodvor;45.706386;17.704483;HR
26848;Donji Miholjac Autobusni Kolodvor;donji-miholjac-autobusni-kolodvor;45.759286;18.16614;HR
26849;Valpovo Autobusni Kolodvor;valpovo-autobusni-kolodvor;45.65743;18.418174;HR
26850;Osijek;osijek;45.553327;18.679953;HR
26851;Djakovo Autobusni Kolodvor;djakovo-autobusni-kolodvor;45.306633;18.416419;HR
26852;Vinkovci Autobusni Kolodvor;vinkovci-autobusni-kolodvor;45.29911;18.802039;HR
26853;Rijeka Autobusni Kolodvor;rijeka-autobusni-kolodvor;45.327996;14.437021;HR
26854;Opatija Autobusni Kolodvor;opatija-autobusni-kolodvor;45.332921;14.302365;HR
26855;Poreč Autobusni Kolodvor;porec-autobusni-kolodvor;45.224458;13.597644;HR
26856;Rovinj Autobusni Kolodvor;rovinj-autobusni-kolodvor;45.080685;13.638815;HR
26857;Pula Autobusni Kolodvor;pula-autobusni-kolodvor;44.876155;13.854958;HR
28224;Ploče;ploce;43.048585;17.433408;HR
28225;Knin;knin;44.036742;16.198256;HR
28226;Sisak;sisak;45.491997;16.373141;HR
28227;Šibenik;sibenik;43.730039;15.898106;HR
28228;Kotoriba;kotoriba;46.353613;16.808461;HR
28229;Opatija-Matulji;opatija-matulji;45.364809;14.321775;HR
