id;name;uic;lat;lon;country
10502;Budapest-Keleti;budapest-keleti;47.500385;19.085069;HU
18797;Budapest-Déli;budapest-deli;47.4985330000;19.0252910000;HU
18798;Miskolc Tiszai pu;miskolc-tiszai-pu;48.0984280000;20.8099290000;HU
18799;Szekesfehervar;szekesfehervar;47.1833270000;18.4259440000;HU
18800;Siofok;siofok;46.9083020000;18.0533680000;HU
18801;Balatonföldvar;balatonfoldvar;46.8535210000;17.8794540000;HU
18802;Balatonlelle;balatonlelle;46.7879090000;17.6945730000;HU
18803;Balatonboglar;balatonboglar;46.7761600000;17.6468670000;HU
18804;Szolnok;szolnok;47.1795600000;20.1756950000;HU
18805;Hajduszoboszlo;hajduszoboszlo;47.4296580000;21.4077920000;HU
18806;Debrecen;debrecen;47.5196310000;21.6287920000;HU
18807;Balatonfüred;balatonfured;46.9624530000;17.9018640000;HU
18808;Szeged;szeged;46.2398100000;20.1431810000;HU
18809;Eger;eger;47.8916230000;20.3821230000;HU
18810;Budapest-Ferencváros;budapest-ferencvaros;47.4689860000;19.0907870000;HU
18811;Angyalföld;angyalfold;47.5497360000;19.0901390000;HU
18812;Üröm;urom;47.5809010000;19.0015240000;HU
18813;Györ-Gyarvaros;gyor-gyarvaros;47.6847810000;17.6619960000;HU
18814;Obuda;obuda;47.5691080000;19.0324290000;HU
18815;Ujszeged;ujszeged;46.2419760000;20.1599280000;HU
18816;Vác;vac;47.7827270000;19.1330630000;HU
18817;Györ;gyor;47.6819850000;17.6347950000;HU
18818;Budapest-Nyugati;budapest-nyugati;47.5107050000;19.0574640000;HU
18819;Budapest;budapest;47.5195500000;19.0540840000;HU
22626;Budapest-Kelenföld;budapest-kelenfold;47.464356;19.020455;HU
22731;Budapest;budapest;;;HU
23605;Hegyeshalom;hegyeshalom;47.913335;17.146591;HU
23610;Tatabanya;tatabanya;47.585266;18.393141;HU
28234;Mezőtúr;mezotur;47.014078;20.618;HU
28235;Mezőberény;mezobereny;46.815137;21.013031;HU
28236;Lökösháza;lokoshaza;46.432377;21.23804;HU
28237;Boba;boba;47.183057;17.191258;HU
28238;Kecskemét;kecskemet;46.913848;19.700857;HU
28239;Kiskunfelegyhaza;kiskunfelegyhaza;46.706808;19.833952;HU
28240;Celldömölk;celldomolk;47.261011;17.153719;HU
28241;Dombóvár;dombovar;46.370045;18.149481;HU
28242;Komáron;komaron;47.749692;18.114154;HU
28243;Szombathely;szombathely;47.237531;16.632749;HU
28244;Győr;gyor;47.682101;17.635263;HU
28245;Pécs;pecs;46.066228;18.22535;HU
28246;Kiskunhalas;kiskunhalas;46.433303;19.494294;HU
28247;Szentgotthárd;szentgotthard;46.95741;16.264236;HU
28248;Jákó-Nagybajom;jako-nagybajom;46.344651;17.555339;HU
28249;Zalaszentiván;zalaszentivan;46.88742;16.909239;HU
28250;Gyékényes;gyekenyes;46.249473;16.955129;HU
28251;Szerencs;szerencs;48.15578;21.214236;HU
28252;Fonyod;fonyod;46.750298;17.55738;HU
28253;Szob;szob;47.820994;18.862056;HU
28254;Alsóbélatelep;alsobelatelep;46.724041;17.51611;HU
28255;Balatonberény;balatonbereny;46.714009;17.317008;HU
28256;Balatonszentgyörgy;balatonszentgyorgy;46.692542;17.288944;HU
28257;Nagykanizsa;nagykanizsa;46.440916;16.98687;HU
28258;Ukk;ukk;47.040731;17.196301;HU
28259;Baja;baja;46.187133;18.957755;HU
28260;Keszthely;keszthely;46.757696;17.247324;HU
28261;Karcag;karcag;47.303359;20.929404;HU
28262;Zalaegerszeg;zalaegerszeg;46.83326;16.848239;HU
28263;Veszprém;veszprem;47.119153;17.910853;HU
28264;Cegléd;cegled;47.182949;19.805986;HU
28265;Kiskőrös;kiskoros;46.626553;19.297161;HU
28266;Rajka;rajka;47.994585;17.192633;HU
28267;Biharkeresztes;biharkeresztes;47.135675;21.721965;HU
28268;Békéscsaba;bekescsaba;46.670042;21.081538;HU
28269;Budapest-Zugló;budapest-zuglo;47.511684;19.100935;HU
28270;Forró-Encs;forro-encs;48.327752;21.117728;HU
28271;Füzesabony;fuzesabony;47.751454;20.414997;HU
28272;Gyoma;gyoma;46.925021;20.822594;HU
28273;Murony;murony;46.756393;21.038318;HU
28274;Gyula;gyula;46.656649;21.273323;HU
28275;Hatvan;hatvan;47.66344;19.671058;HU
28276;Hidasnémeti;hidasnemeti;48.509487;21.230462;HU
28277;Kelebia;kelebia;46.194864;19.610156;HU
28278;Kisvarda;kisvarda;48.207746;22.077947;HU
28279;Kistelek;kistelek;46.46756;19.966309;HU
28280;Kiskunmajsa;kiskunmajsa;46.501881;19.727367;HU
28281;Kőbánya-Kispest;kobanya-kispest;47.463673;19.149936;HU
28282;Kunszentmiklós-Tass;kunszentmiklos-tass;47.01815;19.100144;HU
28283;Mezőkövesd;mezokovesd;47.797263;20.567966;HU
28284;Nagykőrös;nagykoros;47.039256;19.760914;HU
28285;Nyíregyháza;nyiregyhaza;47.946349;21.705227;HU
28286;Püspökladány;puspokladany;47.328089;21.128434;HU
28287;Salgótarján;salgotarjan;48.105791;19.807479;HU
28288;Somoskőújfalu;somoskoujfalu;48.155456;19.816063;HU
28289;Tokaj;tokaj;48.112748;21.406255;HU
28290;Vámosgyörk;vamosgyork;47.68666;19.928347;HU
28291;Záhony 4;zahony-4;48.401679;22.183759;HU
29221;Sopron;sopron;47.677904;16.586733;HU
29478;Miskolc;miskolc;48.1034775;20.7784384;HU
34272;Budapest Airport;budapest-airport;47.4329065837921;19.2617931962013;HU
35853;Zalakaros;zalakaros;46.5391291;17.1263332999999;HU
35935;Hévíz;heviz;46.7919182;17.1900983;HU
35961;Mosonmagyaróvár;mosonmagyarovar;47.8762817;17.2741621;HU
35975;Bük;buk;47.3756953;16.763565;HU
35977;Sárvár;sarvar;47.251841;16.9395010000001;HU
38010;Bag;bag;47.6355213;19.4829035;HU
38679;Špiljani;spiljani;42.91035;20.340414;HU
38814;Papa (H);papa-h;47.340494;17.459712;HU
38815;Csorna;csorna;47.601711;17.248591;HU
38816;Murakeresztur;murakeresztur;46.364697;16.878317;HU
38817;Ajka;ajka;47.105768;17.57347;HU
38818;Tapolca;tapolca;46.877073;17.429113;HU
38819;Kaposvar;kaposvar;46.352615;17.795189;HU
38820;Szentlörinc;szentlorinc;46.032941;17.991298;HU
38821;Dunaujvaros;dunaujvaros;46.960736;18.914229;HU
38822;Fülöpszallas;fulopszallas;46.821169;19.246192;HU
38823;Hodmezövasarhely;hodmezovasarhely;46.413427;20.340575;HU
38824;Kisujszallas;kisujszallas;47.223985;20.751643;HU
38825;Körmend;kormend;47.016127;16.597206;HU
38826;Ketegyhaza;ketegyhaza;46.532579;21.171628;HU
38827;Szentes;szentes;46.657467;20.272266;HU
38828;Veszpremvarsany;veszpremvarsany;47.443537;17.818759;HU
38829;Zirc;zirc;47.266674;17.88074;HU
38830;Mohacs;mohacs;46.003034;18.684825;HU
38831;Alsorönök;alsoronok;46.964125;16.378238;HU
38832;Balassagyarmat;balassagyarmat;48.071389;19.294644;HU
38833;Barcs;barcs;45.951723;17.446758;HU
38834;Biatorbagy;biatorbagy;47.48095;18.834082;HU
38835;Bösarkany;bosarkany;47.685509;17.234307;HU
38836;Budaörs;budaors;47.447439;18.965926;HU
38837;Csakanydoroszlo;csakanydoroszlo;46.97848;16.500158;HU
38838;Csongrad;csongrad;46.70448;20.140025;HU
