id;name;uic;lat;lon;country
24439;Tánger Med-Barco;tanger-med-barco;35.87774;-5.521791;MA
24440;Tánger Ville-Barco;tanger-ville-barco;35.791287;-5.800201;MA
38702;Casablanca;casablanca;33.5731104;-7.5898434;MA
38703;Fès;fes;34.0181246;-5.0078451;MA
38704;Kenitra;kenitra;34.2540503;-6.5890166;MA
38705;Marrakech;marrakech;31.6294723;-7.9810845;MA
38706;Meknès;meknes;33.8730164;-5.5407299;MA
38707;Rabat;rabat;33.9715904;-6.8498129;MA
38708;Sidi Kacem;sidi-kacem;34.2260172;-5.7129164;MA
38709;Tanger;tanger;35.7594651;-5.8339543;MA
38710;Taza;taza;34.2105603;-3.9980485;MA
